scene_id,im_id,source_run,camera_id,source_frame,segment_id,sequence_reset,fallback,translation_fallback,rotation_fallback,translation_learned_gigapose_fallback,rotation_learned_gigapose_fallback,translation_safety_measurement_fallback,rotation_safety_measurement_fallback,translation_trust_probability,rotation_trust_probability,correction_translation_m,correction_rotation_deg,raw_translation_error_m,candidate_translation_error_m,baseline_translation_error_m,filtered_translation_error_m,raw_rotation_error_deg,candidate_rotation_error_deg,baseline_rotation_error_deg,filtered_rotation_error_deg,mean_pose_gain,mean_velocity_gain
1,91,scene:1,front,91,1,0,0,0,0,0,0,0,0,1.0,1.0,0.26919907331466675,3.2061731555418315e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6528058648109436,0.4011216163635254
1,92,scene:1,front,92,1,0,0,0,0,0,0,0,0,1.0,1.0,2.6881279945373535,6.3611093629270335e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6469457745552063,0.4089086055755615
1,93,scene:1,front,93,1,0,0,0,0,0,0,0,0,1.0,1.0,0.45684099197387695,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.6479806900024414,0.4084194004535675
1,94,scene:1,front,94,1,0,0,0,0,0,0,0,0,1.0,1.0,2.1162002086639404,2.0076651742501256e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6495006084442139,0.41009795665740967
1,95,scene:1,front,95,1,0,0,0,0,0,0,0,0,1.0,1.0,0.5749042630195618,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.6492096781730652,0.4044400751590729
1,96,scene:1,front,96,1,0,0,0,0,0,0,0,0,1.0,1.0,1.6272789239883423,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.6507198214530945,0.39792880415916443
1,97,scene:1,front,97,1,0,0,0,0,0,0,0,0,1.0,1.0,2.077598810195923,1.27565100030518e-14,nan,nan,nan,nan,nan,nan,nan,nan,0.6495139002799988,0.40880778431892395
1,98,scene:1,front,98,1,0,0,0,0,0,0,0,0,1.0,1.0,1.6554601192474365,6.3611093629270335e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6494916677474976,0.4046437740325928
1,99,scene:1,front,99,1,0,0,0,0,0,0,0,0,1.0,1.0,2.85017728805542,6.3611093629270335e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6447563767433167,0.39493322372436523
1,100,scene:1,front,100,1,0,0,0,0,0,0,0,0,1.0,1.0,1.8326424360275269,4.8407229866193056e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6446948647499084,0.40174511075019836
1,101,scene:1,front,101,1,0,0,0,0,0,0,0,0,1.0,1.0,2.4813032150268555,4.969616689786745e-17,nan,nan,nan,nan,nan,nan,nan,nan,0.6413248181343079,0.4112037420272827
1,102,scene:1,front,102,1,0,0,0,0,0,0,0,0,1.0,1.0,0.4119611978530884,1.33500591979677e-14,nan,nan,nan,nan,nan,nan,nan,nan,0.6380425095558167,0.4039870798587799
1,103,scene:1,front,103,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0389621257781982,2.7544411522729284e-15,nan,nan,nan,nan,nan,nan,nan,nan,0.6303773522377014,0.4023700952529907
1,104,scene:1,front,104,1,0,0,0,0,0,0,0,0,1.0,1.0,2.691567897796631,9.93923337957349e-17,nan,nan,nan,nan,nan,nan,nan,nan,0.6370788812637329,0.41532719135284424
1,105,scene:1,front,105,1,0,0,0,0,0,0,0,0,1.0,1.0,1.429667353630066,1.0328135066243383e-13,nan,nan,nan,nan,nan,nan,nan,nan,0.6376721262931824,0.4112648069858551
