scene_id,im_id,score,epnp_status,quality_approved,translation_error_m,rotation_error_deg,front_rear_flip_like
1,0,0.123874314,approved,1,35.97474584348134,10.935464950244231,0
1,1,0.142334923,approved,1,50.43420859622327,5.684772582258003,0
1,2,0.204213291,rejected:bbox_iou,0,42.87753379593592,5.160720919288657,0
1,3,0.125494018,approved,1,39.63845554155205,4.706151352906536,0
1,4,0.272097856,approved,1,37.417923972478036,2.515629052663488,0
1,5,0.254908055,approved,1,43.23719712284246,1.9177453120111316,0
1,6,0.227025419,approved,1,36.04616403275553,3.067424339590333,0
1,7,0.2477642,approved,1,30.268871586588,3.9727970324950115,0
1,8,0.127379984,approved,1,33.32795229623681,3.3429427374176717,0
1,9,0.238846689,approved,1,38.8687601291951,10.376839791907697,0
1,10,0.0608229265,approved,1,9.340988946003709,7.390270338292581,0
1,11,0.117036879,rejected:bbox_iou,0,7.709614473261065,5.944480197879399,0
1,12,0.258100629,approved,1,7.4060403199439335,10.888195367197646,0
1,13,0.190527514,approved,1,12.520086273670191,19.9483426919016,0
1,14,0.223981291,approved,1,11.76766022655402,12.553658728716009,0
1,15,0.193236709,approved,1,37.296553436452406,3.5719563819751543,0
1,16,0.228858083,approved,1,19.915963273409023,1.3526215559142538,0
1,17,0.226066187,approved,1,24.621365703598105,3.102805873008692,0
1,18,0.293050796,approved,1,21.653740489642384,3.5234893548507222,0
1,19,0.229326963,approved,1,33.73098118989394,1.7637554015960633,0
1,20,0.218861103,approved,1,24.832391348909667,3.5478822787341078,0
1,21,0.250833631,approved,1,10.221447796634022,4.5258682566165325,0
1,22,0.273399115,approved,1,19.485953998073086,2.648290073621698,0
1,23,0.223146245,approved,1,19.22666115894186,5.55683340570405,0
1,24,0.317983836,approved,1,11.448496972918303,4.308835484488767,0
1,25,0.176800475,approved,1,23.932045334201977,0.9117032850839291,0
1,26,0.307534665,approved,1,25.7403729162534,3.725812677580606,0
1,27,0.17738618,approved,1,13.428925227898725,2.1407159424302056,0
1,28,0.202907592,approved,1,15.831180660447025,2.8551968435358788,0
1,29,0.242696762,approved,1,14.553883721330992,2.23776107277212,0
1,30,0.208457366,approved,1,12.75485898155275,1.9321247908438552,0
1,31,0.126940414,approved,1,16.37074579876693,6.4874561468063225,0
1,32,0.220008329,approved,1,6.324673239993169,5.690898040876129,0
1,33,0.208117157,approved,1,2.491352467542618,3.6243175086944035,0
1,34,0.313962638,approved,1,5.619903880176611,2.946534745848747,0
1,35,0.256388485,approved,1,3.080995363984937,3.0536266870821023,0
1,36,0.270050108,approved,1,0.47749490453511906,3.4777458147338005,0
1,37,0.305544674,approved,1,1.423768821172402,6.400522324477472,0
1,38,0.188495681,approved,1,4.398814651312402,3.7426083901433342,0
1,39,0.322107822,approved,1,0.4617233633164868,3.848512084730975,0
1,40,0.230214253,approved,1,17.64509768964235,3.2076925743712748,0
1,41,0.207152501,approved,1,4.281010386621226,3.6004576357266522,0
1,42,0.210501567,approved,1,4.350971118734297,4.383899022548306,0
