scene_id,im_id,score,epnp_status,quality_approved,translation_error_m,rotation_error_deg,front_rear_flip_like
1,45,0.17491813,approved,1,10.281422725793343,33.248858306343145,0
1,46,0.123385683,approved,1,14.303879022765056,13.820783359128628,0
1,47,0.443069577,approved,1,8.058830249678074,39.5992853974628,0
1,48,0.101398423,approved,1,11.10981689821584,39.651347325760646,0
1,49,0.100690082,rejected:bbox_iou,0,17.410806878501724,57.07903649611719,0
1,50,0.0536053628,rejected:bbox_iou,0,18.65286094358844,33.31328282536009,0
1,51,0.364303291,approved,1,17.402022773143667,25.113080759322305,0
1,52,0.131244332,approved,1,10.657336508703171,16.990439985545446,0
1,53,0.103169963,rejected:bbox_iou,0,12.874327651154237,18.06532284109296,0
1,54,0.083438538,approved,1,16.409645865270342,18.895063038893614,0
1,55,0.0055433847,approved,1,17.096248308245126,21.054311812791756,0
1,56,0.018304104,rejected:bbox_iou,0,22.5942263579702,19.04927947451537,0
1,57,0.252335429,rejected:bbox_iou,0,15.005219605161907,43.90492598947867,0
1,58,0.106162816,rejected:bbox_iou,0,8.32070534908003,12.60903627505591,0
1,59,0.0354561098,rejected:bbox_iou,0,5.38036252930277,2.716314660670228,0
1,80,0.102753915,approved,1,3.7815090128187165,8.278600272971211,0
1,81,0.149969384,approved,1,8.444452337937017,12.315117175020852,0
1,82,0.141651049,approved,1,6.560425893344843,5.254695750689217,0
1,83,0.227518618,approved,1,7.572527139169785,9.094341112126793,0
1,84,0.239323467,approved,1,10.092313550858199,12.116659964899592,0
1,85,0.220622763,approved,1,14.576894310051513,10.606625627921359,0
1,86,0.173471585,approved,1,14.564622346864335,9.232483013813344,0
1,87,0.250205845,approved,1,12.592803028676359,10.712758619518514,0
1,88,0.15400736,approved,1,13.448394880101015,10.917888213518674,0
1,89,0.284476429,approved,1,12.64028846882972,7.045869305999999,0
1,90,0.241832301,approved,1,11.379730555675872,10.173564236597475,0
1,91,0.378172547,approved,1,10.67422987350983,9.596228494929731,0
1,92,0.356516182,approved,1,7.184007902256468,6.560992526537062,0
1,93,0.259313166,approved,1,7.119653216809474,10.177232199199576,0
1,94,0.174351439,approved,1,7.271542215766541,6.727281747670512,0
1,95,0.241174206,approved,1,9.577761920562606,6.54166428237549,0
1,96,0.279328525,approved,1,8.842067364213925,6.0685745412718415,0
1,97,0.166716978,approved,1,3.7745674692903046,8.65485674243932,0
1,98,0.200605467,approved,1,3.236634335047507,7.092764899314524,0
1,99,0.292708725,approved,1,6.044924476764552,7.131687519799966,0
1,100,0.283366203,approved,1,7.942764828755108,7.353233855978537,0
1,101,0.274971396,approved,1,5.174105193518626,5.622527516088207,0
1,102,0.37262398,approved,1,5.517761182893103,2.9943806552279595,0
1,103,0.0701029673,approved,1,4.696182817641788,4.2545366556019255,0
1,104,0.234955475,approved,1,3.6114804260105258,1.9484009481631275,0
1,105,0.327056587,approved,1,3.156981747048635,7.728087183112356,0
1,106,0.295941949,approved,1,4.4466409885727405,5.115119110848651,0
1,107,0.326313704,approved,1,2.183207567091786,4.649301946592289,0
1,108,0.332075655,approved,1,0.685258212952223,2.619713291381816,0
1,109,0.211720601,approved,1,1.4533648054177437,3.3088544804548783,0
1,110,0.33257997,approved,1,1.843723565486276,4.251664970308849,0
1,111,0.1802921,approved,1,0.41507347120462323,5.855909032866865,0
1,112,0.0465189554,approved,1,8.551299632635152,22.56003669526253,0
1,113,0.0226204693,approved,1,5.841219958920473,6.003481025572747,0
1,114,0.19668512,approved,1,3.8560644963434605,4.665708962687063,0
1,115,0.330103099,approved,1,3.8777727739563965,5.636355957565493,0
1,116,0.22883828,approved,1,3.4099854602408497,20.157447720048026,0
1,117,0.0372562148,approved,1,20.453842380184497,85.8809922518745,0
1,118,0.0601823889,approved,1,11.23011158446993,7.239427292503536,0
1,119,0.282762945,approved,1,4.973573629525661,1.6680097141362795,0
1,120,0.253110975,approved,1,2.709247911271655,1.4176626250979958,0
1,121,0.182943597,approved,1,0.28553927029497345,9.087212371379412,0
1,122,0.227607712,approved,1,0.5941371104268379,2.7216310392582037,0
1,123,0.327316463,approved,1,0.3051086746173102,2.7333410411096555,0
1,124,0.238728225,approved,1,0.199441349697859,1.043100629306104,0
1,125,0.274080127,approved,1,1.3084876061038175,2.1496399869310308,0
1,126,0.191610023,approved,1,0.5528316381755519,6.290181238546072,0
1,127,0.327916831,approved,1,1.6610204468525174,0.7904094326334891,0
1,128,0.283329666,approved,1,2.0768988651560716,3.0038052673157085,0
1,129,0.344060361,approved,1,3.1063748439907144,3.0185178684430567,0
1,130,0.289203495,approved,1,2.556002857572797,4.473715760798985,0
1,131,0.231529102,approved,1,3.442908775208886,4.415792715713793,0
1,132,0.227563709,approved,1,2.684763373053457,2.436587811148273,0
1,133,0.180831507,approved,1,2.71700624966511,5.54688630016506,0
1,134,0.113907181,approved,1,2.763811434348583,4.490088804748821,0
1,135,0.081029579,approved,1,2.5154562953703437,6.368504634964873,0
1,136,0.0843715295,approved,1,1.9666273055600938,4.154955891409018,0
1,137,0.212720618,approved,1,1.2500224392959833,2.4445681846066853,0
1,138,0.270457864,approved,1,0.8573107704687345,1.629000343878287,0
1,139,0.0855776295,approved,1,0.7775436140228431,3.6135932418347965,0
1,140,0.311402947,approved,1,1.686857379815341,2.420903167881512,0
1,141,0.19253011,approved,1,3.1914919787356077,0.8115261894778105,0
1,142,0.160115078,approved,1,3.2070500694179023,5.7859295891576,0
1,143,0.272287756,approved,1,2.8245322582949606,0.752977393071566,0
1,144,0.0742078871,approved,1,2.1837849412852433,4.142948044011568,0
1,145,0.0727680549,approved,1,1.4532454848629857,5.120690863009524,0
1,146,0.182175919,approved,1,2.155175850178579,2.865308988472036,0
1,147,0.114700608,approved,1,0.9312996695154425,2.962202181627509,0
1,148,0.107746899,approved,1,0.49547767110044433,4.773447710479099,0
1,149,0.176070035,approved,1,1.366028578116218,3.773372118839717,0
1,150,0.158668488,approved,1,2.409440607205873,3.987939082696365,0
1,151,0.175273344,approved,1,3.577717692392386,3.0534352435787855,0
1,152,0.170909882,approved,1,3.1552906459268057,4.0991023989858775,0
1,153,0.106191739,approved,1,1.509862228853004,6.656393943806644,0
1,154,0.180017397,approved,1,2.386028940561958,3.031190004409236,0
1,155,0.172907397,approved,1,1.4995888961636106,4.174397248589685,0
1,156,0.189430147,approved,1,2.3081787086871612,2.8055821300705337,0
1,157,0.181782722,approved,1,1.9778227151828474,3.418482068338005,0
1,158,0.0794057846,approved,1,1.9695821126360615,3.3458532951639492,0
1,159,0.132707894,approved,1,1.926826483761101,2.6152299287103573,0
1,160,0.0908619165,approved,1,3.601538275356473,4.193718530684494,0
1,161,0.184423998,approved,1,2.668775697557834,3.379267816603871,0
1,162,0.114140719,approved,1,2.2080938381231014,2.3743902624676774,0
1,163,0.117936313,approved,1,1.6159476700651776,3.607360204148766,0
1,164,0.206224605,approved,1,1.646704130082079,2.9466545605969907,0
