scene_id,im_id,segment_id,epnp_status,epnp_path,epnp_anchor_available,map_heading_source,map_dot_normal,map_dot_flipped,visual_cost_normal,visual_cost_flipped,gigapose_cost_normal,gigapose_cost_flipped,epnp_cost_normal,epnp_cost_flipped,map_cost_normal,map_cost_flipped,unary_normal,unary_flipped,selected_polarity,orientation_changed,lookahead_path_cost,rotation_change_deg,epnp_error_before_deg,epnp_error_after_deg,translation_change_m
1,45,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3625222913575_0.json,1,epnp_raceline,0.8633228739049538,-0.8633228739049538,1.5419709045864014,0.0,21.786274617437392,1.7853089085381606,0.9600305278335002,25.40632896717001,1.0206557361233939,24.897354782927163,11.713494964086737,151.8663526616689,0,0,67.71256594147687,3.235979940976852e-15,29.394344269776617,29.39434426977663,0.0
1,46,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3628523249109_0.json,1,epnp_raceline,0.9930952240467721,-0.9930952240467721,4.525212512749031,0.0,0.39596898803434727,29.47994056976691,0.10144456351010923,32.78920789638442,0.05042927916198211,33.35565355578065,1.7369321875602457,205.2381238395407,0,0,94.06854488625127,1.3673696507896713e-14,9.555108955898843,9.555108955898843,0.0
1,47,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3629724226954_0.json,1,epnp_raceline,0.9930288422710799,-0.9930288422710798,4.562461958160926,0.0,32.211393656831056,0.31078598701666615,0.10378372709918553,32.775301580583154,0.05091466557984503,33.34320126798811,9.710428143304428,197.865305355063,0,0,100.41136683589494,1.4495699769183653e-14,9.664644555764424,9.66464455576442,0.0
1,48,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3631035750053_0.json,1,epnp_raceline,0.9980150713997907,-0.9980150713997908,4.487401653487983,0.0,35.66382610355954,0.026833831553373592,0.057318931817615305,33.986921178508354,0.014485095627485275,34.570236581569816,10.296052857787314,205.0948663350614,0,0,98.37781160787492,4.21501179600531e-15,7.182411756217691,7.182411756217687,0.0
1,49,0,rejected:bbox_iou,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3631324683154_0.json,0,epnp_raceline,0.9975148949303873,-0.9975148949303873,4.7011977884499085,0.0,28.867600624891722,0.4099398601861224,0.0,0.0,0.018136666461497402,34.402067370157766,30.079173404927193,69.21407460050166,0,0,124.4024832694251,3.3024589267950804e-15,nan,nan,0.0
1,50,0,rejected:bbox_iou,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3632024634300_0.json,0,epnp_raceline,0.9553921898599916,-0.9553921898599916,3.1760758649735776,0.0,35.60495666089627,0.016699674928022212,0.0,0.0,0.3278681353102101,29.456695638227174,37.054711897760086,58.93009095138237,0,0,97.04637283665707,3.2891664387754874e-14,nan,nan,0.0
1,51,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3632523195590_0.json,1,epnp_raceline,0.9528786307111619,-0.9528786307111621,5.459382564807265,0.0,35.91934073732643,0.011285807855821131,0.3030692897417387,29.80056490384638,0.34649044712011307,29.28287774643386,12.249938878740604,177.7708365602172,0,0,71.50084815632631,2.103333670919483e-14,16.51551878590452,16.5155187859045,0.0
1,52,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3632725038812_0.json,1,epnp_raceline,0.9790428716273346,-0.9790428716273346,0.0,2.976326875230286,1.0467205908705473,31.409232996664667,1.1184817336094788,32.44526008047892,0.15342188501381349,31.453129187533246,5.042450852183179,201.28368866495592,0,0,95.09810386684109,2.461400526677495e-14,31.7274890315722,31.72748903157219,0.0
1,53,0,rejected:bbox_iou,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3633723655886_0.json,0,epnp_raceline,0.9800957840311522,-0.9800957840311522,4.489647289619056,0.0,34.894133793318694,0.2887204460923121,0.0,0.0,0.1456880156107304,31.56539607644953,36.30792164694492,63.419512598991375,0,0,119.33291963749227,2.5084703286304584e-14,nan,nan,0.0
1,54,0,approved,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3633823542398_0.json,1,epnp_raceline,0.9772501366639519,-0.9772501366639519,0.0,4.365898017497299,0.16226651992759697,34.65462105970269,0.16688299404767015,31.79737716217985,0.1665962205164412,31.268652187111453,1.0412910472054622,199.4819427922423,0,0,89.1370762713676,2.1501849353313266e-14,12.255394511924248,12.25539451192425,0.0
