match_key,metadata_path,epnp_label_path,target_label_path,correction_kind,map_z_mode,translation_error_mm,rotation_error_deg,output,raw_map_object_z_m,label_map_pose_z_m,adjusted_map_object_z_m,metadata_lidar_z_m,metadata_ground_truth_pose_z_m,object_minus_ego_z_m,adjusted_minus_lidar_z_m,projection_model,metadata_distortion_model,original_center_u,original_center_v,original_center_depth_mm,original_center_valid_depth,optimized_center_u,optimized_center_v,optimized_center_depth_mm,optimized_center_valid_depth,gigapose_center_u,gigapose_center_v,gigapose_center_depth_mm,gigapose_center_valid_depth
image_3609545410405,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3609545410405_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609545410405_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609545410405_0.json,epnp_label,raw,2149.791636294861,10.961871694419973,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3609545410405_0_extrinsic_before_after.jpg,-36.17608642578125,-36.17608642578125,-36.17608642578125,nan,nan,nan,nan,metadata,pinhole,900.8411645609866,176.58844014407174,53188.46893310547,True,906.4823233744996,184.89456981395998,53288.91061400375,True,906.6105779240505,189.84181220741107,63919.75,True
image_3609744415396,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3609744415396_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609744415396_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609744415396_0.json,epnp_label,raw,1070.6361191703018,14.47359265703832,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3609744415396_0_extrinsic_before_after.jpg,-36.208133697509766,-36.208133697509766,-36.208133697509766,nan,nan,nan,nan,metadata,pinhole,888.0620649015889,175.3784515847519,53244.831085205085,True,893.7743745049718,183.6720829427405,53348.96222127842,True,892.496022741447,191.59338263988028,61556.578125,True
image_3609846480859,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3609846480859_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609846480859_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609846480859_0.json,epnp_label,raw,2301.7739493304002,11.71744567119294,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3609846480859_0_extrinsic_before_after.jpg,-36.22483825683594,-36.22483825683594,-36.22483825683594,nan,nan,nan,nan,metadata,pinhole,881.8123129507362,175.38688775043124,53246.887207031235,True,887.5612299496881,183.67896242295913,53352.63561098405,True,883.9644557497609,187.46870663387904,59844.59375,True
image_3609944152816,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3609944152816_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609944152816_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3609944152816_0.json,epnp_label,raw,3041.153794883207,12.13787001123292,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3609944152816_0_extrinsic_before_after.jpg,-36.24429702758789,-36.24429702758789,-36.24429702758789,nan,nan,nan,nan,metadata,pinhole,875.9227375005045,176.045508100233,53262.01248168947,True,881.7086731893179,184.33247790763863,53369.00266893436,True,879.0293130389008,188.4976521832429,59074.0820312,True
image_3610544012475,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3610544012475_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3610544012475_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3610544012475_0.json,epnp_label,raw,1434.55135661014,12.85064028881119,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3610544012475_0_extrinsic_before_after.jpg,-36.34566116333008,-36.34566116333008,-36.34566116333008,nan,nan,nan,nan,metadata,pinhole,845.4891607615543,176.10592776821582,53286.5219116211,True,851.5014367115258,184.37933863479054,53400.88039494961,True,851.350269565412,188.0012967439709,60977.5546875,True
image_3610845062532,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3610845062532_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3610845062532_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3610845062532_0.json,epnp_label,raw,3786.363582045879,12.968523238269196,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3610845062532_0_extrinsic_before_after.jpg,-36.39794921875,-36.39794921875,-36.39794921875,nan,nan,nan,nan,metadata,pinhole,835.1904989934159,175.57617731599197,53350.88348388671,True,841.3113417270471,183.83252014703868,53467.830793177935,True,841.7076194768277,187.7196735892369,65477.7539062,True
image_3611646395832,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3611646395832_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3611646395832_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3611646395832_0.json,epnp_label,raw,1434.1111318284838,12.594904487437578,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3611646395832_0_extrinsic_before_after.jpg,-36.5670280456543,-36.5670280456543,-36.5670280456543,nan,nan,nan,nan,metadata,pinhole,824.5372205169064,174.7017249748925,53816.989898681626,True,830.9190466955233,182.85047987162864,53936.19974452238,True,828.8082255519357,185.35566036334464,61803.9492188,True
image_3611745317373,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3611745317373_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3611745317373_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3611745317373_0.json,epnp_label,raw,1923.0971572322576,12.39566457892419,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3611745317373_0_extrinsic_before_after.jpg,-36.586029052734375,-36.586029052734375,-36.586029052734375,nan,nan,nan,nan,metadata,pinhole,824.8023311189049,174.0177244972586,53892.04025268556,True,831.2139388001506,182.1504821475904,54011.253912973814,True,831.0264370672064,183.35530442227414,63909.3867188,True
image_3611944350685,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3611944350685_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3611944350685_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3611944350685_0.json,epnp_label,raw,1542.0592890690587,12.041917435599952,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3611944350685_0_extrinsic_before_after.jpg,-36.62590026855469,-36.62590026855469,-36.62590026855469,nan,nan,nan,nan,metadata,pinhole,826.7545589079325,174.79817613521314,54033.10394287108,True,833.2369181862155,182.88824235107856,54151.25638899986,True,832.0767974168598,183.78142090437794,61698.1601562,True
image_3612544948470,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3612544948470_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3612544948470_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3612544948470_0.json,epnp_label,raw,1331.8145011628378,10.601052091710686,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3612544948470_0_extrinsic_before_after.jpg,-36.75290298461914,-36.75290298461914,-36.75290298461914,nan,nan,nan,nan,metadata,pinhole,841.6423794518478,174.6049478251175,54532.79495239256,True,848.2729522343028,182.5903628923041,54645.550659227796,True,845.6331189682786,183.48898291438977,62563.3554688,True
