match_key,scene_id,im_id,instance_id,score,target_pose_path,source_csv_epnp_label_path,target_pose_key,camera_pose_key,translation_error_mm,rotation_error_deg,image_center_error_px
image_4207533610858,1,466,415,0.05859375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/4207533610858_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/4207533610858_0.json,T_map_object_raw,T_camera_object_centered,3617.009011047103,1.5819121134100482,95.76158975712971
image_3600758676784,1,6,504,0.12890625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600758676784_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600758676784_0.json,T_map_object_raw,T_camera_object_centered,5629.874006337816,3.374803514594642,9.061740344743098
image_3600945537333,1,8,554,0.1796875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600945537333_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600945537333_0.json,T_map_object_raw,T_camera_object_centered,11713.805952349747,3.0259185803013855,7.527506651185642
image_3601345540600,1,11,14,0.12890625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601345540600_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601345540600_0.json,T_map_object_raw,T_camera_object_centered,8973.542131162922,2.6483171726099255,6.399785359012319
image_3601444255428,1,12,26,0.15234375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601444255428_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601444255428_0.json,T_map_object_raw,T_camera_object_centered,11947.973018638937,3.0024939035364184,8.664471318487848
image_3601545753617,1,13,38,0.11328125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601545753617_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601545753617_0.json,T_map_object_raw,T_camera_object_centered,5272.274660003814,1.963441735467175,8.068840011733094
image_3601844046190,1,16,74,0.125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601844046190_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601844046190_0.json,T_map_object_raw,T_camera_object_centered,8512.634487934682,1.3587129283487296,5.847195609083385
image_3601944755461,1,17,86,0.09765625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601944755461_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601944755461_0.json,T_map_object_raw,T_camera_object_centered,7568.925720293633,2.088197972740919,6.870459675319458
image_3602044371886,1,18,98,0.140625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602044371886_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602044371886_0.json,T_map_object_raw,T_camera_object_centered,10441.18177094677,1.5709728075660296,8.086223919210907
image_3602144419084,1,19,110,0.0859375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602144419084_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602144419084_0.json,T_map_object_raw,T_camera_object_centered,8669.683618893947,1.2068862431046863,6.675028265276437
image_3602444814967,1,21,134,0.1875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602444814967_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602444814967_0.json,T_map_object_raw,T_camera_object_centered,8858.779467355933,1.731321824587243,6.811057778843616
image_3602546688497,1,22,145,0.17578125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602546688497_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602546688497_0.json,T_map_object_raw,T_camera_object_centered,8335.015873133618,1.1192969323589774,6.42856243125937
image_3602661903623,1,23,156,0.11328125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602661903623_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602661903623_0.json,T_map_object_raw,T_camera_object_centered,7798.518035232879,0.777420699727013,7.093810591416427
image_3602754971763,1,24,167,0.1484375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602754971763_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602754971763_0.json,T_map_object_raw,T_camera_object_centered,7899.393740017721,1.4462431717408444,7.509971775408333
image_3602848193360,1,25,178,0.19140625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602848193360_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602848193360_0.json,T_map_object_raw,T_camera_object_centered,5606.952486643022,2.0807907035066813,7.413777543033608
image_3603146796704,1,28,217,0.12890625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3603146796704_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3603146796704_0.json,T_map_object_raw,T_camera_object_centered,6794.521008134385,0.9355716994226035,6.036983894130637
image_3604055262174,1,35,304,0.14453125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3604055262174_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3604055262174_0.json,T_map_object_raw,T_camera_object_centered,8875.44980951544,1.7598721002568678,7.708234252399078
