abs_depth_change_m_count,abs_depth_change_m_max,abs_depth_change_m_mean,abs_depth_change_m_median,abs_depth_change_m_p90,abs_depth_change_m_std,abs_depth_change_m_variance,abs_distance_change_m_count,abs_distance_change_m_max,abs_distance_change_m_mean,abs_distance_change_m_median,abs_distance_change_m_p90,abs_distance_change_m_std,abs_distance_change_m_variance,camera_id,confidence_threshold,distance_bin_end_m,distance_bin_start_m,lateral_change_m_count,lateral_change_m_max,lateral_change_m_mean,lateral_change_m_median,lateral_change_m_p90,lateral_change_m_std,lateral_change_m_variance,matched_predictions,model,model_score_count,model_score_max,model_score_mean,model_score_median,model_score_p90,model_score_std,model_score_variance,normalized_center_change_count,normalized_center_change_max,normalized_center_change_mean,normalized_center_change_median,normalized_center_change_p90,normalized_center_change_std,normalized_center_change_variance,projected_center_change_px_count,projected_center_change_px_max,projected_center_change_px_mean,projected_center_change_px_median,projected_center_change_px_p90,projected_center_change_px_std,projected_center_change_px_variance,relative_translation_change_count,relative_translation_change_max,relative_translation_change_mean,relative_translation_change_median,relative_translation_change_p90,relative_translation_change_std,relative_translation_change_variance,rotation_change_deg_count,rotation_change_deg_max,rotation_change_deg_mean,rotation_change_deg_median,rotation_change_deg_p90,rotation_change_deg_std,rotation_change_deg_variance,translation_change_m_count,translation_change_m_max,translation_change_m_mean,translation_change_m_median,translation_change_m_p90,translation_change_m_std,translation_change_m_variance
3,0.7343901556250003,0.4025603241666671,0.2890485640625009,0.6453218373125005,0.23850837651776144,0.056886245669138254,3,0.8971767491562446,0.497054700540603,0.4037925010304182,0.7984998995310794,0.2960621886467318,0.08765281954629299,front,0.0,10.0,0.0,3,0.5245137011997911,0.41974931859538894,0.4020986203917548,0.5000306850381838,0.07932195370646969,0.00629197233981132,3,scipy_graph_camera_anchored,3,0.820947723,0.6151863826666667,0.549254371,0.7666090526,0.1485900405966631,0.022079000164517987,3,0.05003283641309528,0.02955814933383101,0.023269461137533247,0.044680161357982875,0.014832430397966624,0.00022000099151052433,0,nan,nan,nan,nan,nan,nan,3,0.0996601828805317,0.06397513443416235,0.04684462871336143,0.08909707204709766,0.025239836004651225,0.0006370493215416883,3,47.94997716282623,25.813385714264538,16.479278068727545,41.65583734400649,15.716846991108158,247.01927934190553,3,0.9024652477659268,0.5951468638559797,0.44229911625773993,0.8104320214642895,0.21730792324673043,0.04722273350580688
82,6.187473112500001,0.8730650243483233,0.6529371085937488,1.5240653796874988,1.0310538210238376,1.0630719818478558,82,8.286057236649386,1.0677974939858594,0.8259827290215496,1.7236833480416414,1.2869740073014284,1.6563020954694971,front,0.0,20.0,10.0,82,5.544475085623329,0.7289082142478193,0.58633568501162,1.0649233733569867,0.7714526215869927,0.5951391473534438,82,scipy_graph_camera_anchored,82,1.0,0.6854420431951219,0.633651958,1.0,0.17986900310171489,0.032352858276804716,82,0.16139038231822475,0.03620715452228113,0.02974534772013702,0.06519210035955642,0.0252981168766053,0.000639994717502382,0,nan,nan,nan,nan,nan,nan,82,0.5766127770780476,0.09041768997372916,0.07281041879110899,0.13883703840908174,0.09208685368673179,0.00847998862192155,82,177.10063901449507,21.931577008467592,13.793787207255445,39.713286271602726,34.18768941354729,1168.7981074371735,82,8.30819038617967,1.1706368470835582,0.9088652442055772,1.7314270834637258,1.2575254363192219,1.5813702229898494
36,6.931847506249998,3.543339565277778,3.314464710937502,5.799522865625001,1.672682844837928,2.7978678994151043,36,7.061234941302423,3.60221941221522,3.4621198349250903,5.85925035509163,1.706170481443513,2.911017711749189,front,0.0,30.0,20.0,36,1.5726568541756507,0.8344957565513741,0.6815853292776519,1.421059970239487,0.3362608641892489,0.1130713687853005,36,scipy_graph_camera_anchored,36,1.0,0.8109945748055556,0.843834849,1.0,0.1713280025395702,0.029353284454198977,36,0.03553038742256321,0.024176437698741712,0.023512760533033236,0.032343678561196215,0.00563454819189311,3.174813332676592e-05,0,nan,nan,nan,nan,nan,nan,36,0.24817273026108377,0.14445751155581757,0.14431738033511987,0.21390022082722415,0.05495237946974248,0.0030197640093865743,36,23.461860004432193,16.940621859585203,18.896332043959998,21.985617685766744,5.776260527666673,33.36518568348007,36,7.074217999240781,3.653722649108875,3.506822489623333,5.8857600771996985,1.6771668116661482,2.812888514154393
20,9.990423931250003,5.6637516739062495,5.434483423437499,8.833783434375002,2.379708943736716,5.663014656900516,20,10.108676187424788,5.772133691558503,5.508042894705779,8.920087605039363,2.3647769976350714,5.592170248543943,front,0.0,40.0,30.0,20,3.1489849811682205,1.0223223554520884,0.923828089382473,1.4195674495805017,0.5875978430514744,0.34527122515874514,20,scipy_graph_camera_anchored,20,1.0,0.79019623315,0.9041730675,1.0,0.2130816111360513,0.04540377300433539,20,0.022788395208144154,0.01554542679800652,0.015721504128862616,0.01841279138315282,0.003163211206471984,1.0005905136749945e-05,0,nan,nan,nan,nan,nan,nan,20,0.26863727807949805,0.1647651732808296,0.1592917250436851,0.24787306421073338,0.062383978088203555,0.003891760722109461,20,179.61075890718885,36.55193921425307,19.229988135069746,61.92188989852681,48.00662464433983,2304.6360097425363,20,10.114991528916416,5.803349508161105,5.529559457786585,8.933951806132324,2.335090231729485,5.452646390318461
19,14.539913456249998,6.577308145394738,6.033477506249994,9.350131803750003,2.721828515056863,7.408350465376648,19,14.650515343227546,6.642072886254475,6.115898128624266,9.470100413190687,2.7412839050329056,7.514637447992457,front,0.0,50.0,40.0,19,1.8256976855469798,0.9832190859754036,0.9378123183738408,1.5474339308285388,0.37527620534654865,0.14083223029930494,19,scipy_graph_camera_anchored,19,1.0,0.8843898995263159,0.974096713,1.0,0.20793130925490402,0.04323542936845853,19,0.016306004681817417,0.00809475208689446,0.007349988034056616,0.013740980327597487,0.003806463538350623,1.4489164668792744e-05,0,nan,nan,nan,nan,nan,nan,19,0.29330601250325566,0.14607937168565474,0.1373366272950608,0.21520574805048887,0.05408751500537974,0.0029254592794571784,19,23.12901492336409,11.677615160163855,7.3234512709909465,20.421648296238434,7.372470849254213,54.353326423103134,19,14.654086643467458,6.6550296130000275,6.121018650722059,9.477387797039608,2.7363234012577746,7.4874657562709155
14,13.204431262500002,5.422306362053571,5.061092837499999,8.777125880000003,3.18086299073024,10.117889365797327,14,13.349690241021527,5.481070867182857,5.104542450518366,8.852929733566985,3.2115493912917445,10.314049492706376,front,0.0,60.0,50.0,14,1.9785629661757065,0.9094218372026441,0.7463668705814961,1.1990028080448498,0.3815800930035123,0.1456033673765691,14,scipy_graph_camera_anchored,14,1.0,0.8414306833571431,0.970064149,0.9881324453,0.22040103218597898,0.04857661498864495,14,0.011461398221928857,0.00682129251459069,0.00627631985780326,0.009525960891316156,0.0022360579894222287,4.9999553320589795e-06,0,nan,nan,nan,nan,nan,nan,14,0.26001826495838604,0.10097452231745256,0.09471130925327165,0.1538461615732277,0.059725997671826535,0.0035671947978950284,14,167.97647478651018,21.393929075124284,6.556313348747286,23.794407190354463,41.35543379573986,1710.2719044338228,14,13.351843182767293,5.509871397163951,5.115835437042723,8.855731307664536,3.1832788570648534,10.13326428183612
11,12.032476137500005,5.387589233522726,4.187512106249997,7.558900674999997,2.657929684215237,7.06459020623251,11,12.16547648712011,5.50219844430646,4.278552433417545,7.68978708301816,2.669822490608039,7.127952131356512,front,0.0,70.0,60.0,11,1.8140448932911155,1.151137125596154,1.1774070324867538,1.4969455106597678,0.3770564938937869,0.14217159958747538,11,scipy_graph_camera_anchored,11,1.0,0.8723892351818182,0.982943284,0.990517238,0.17082898915529549,0.02918254353582006,11,0.010608057088844854,0.006018727693592443,0.005841769033947215,0.008174231693284913,0.0021955748112160328,4.820548751646318e-06,0,nan,nan,nan,nan,nan,nan,11,0.18024138651380148,0.08425888533187421,0.0685168007536213,0.1204580397429216,0.039852621360074406,0.0015882314292694586,11,20.791489726762677,8.16767587749507,5.745101955535182,19.813116553961038,5.870699871167965,34.46511697733157,11,12.168452690230694,5.521423879764113,4.289841784872103,7.691767560504711,2.659299640297492,7.071874576886373
10,13.9494171125,5.274777916250001,4.701366049999997,7.32409985,3.262021995271536,10.640787497635293,10,14.121240291441296,5.452546911278513,4.8452396068757295,7.477204272623334,3.2742104622341093,10.7204541510033,front,0.0,80.0,70.0,10,2.3712416175980935,1.397446524865885,1.1732959881389418,2.2594275762326825,0.5032832919667968,0.25329407197293596,10,scipy_graph_camera_anchored,10,0.988715851,0.8414840321,0.963812232,0.9844117639,0.2095790998229638,0.04392339908260383,10,0.010101961965678108,0.006402908797571024,0.00625556714562878,0.008490905953847088,0.002249011600537363,5.058053179351631e-06,0,nan,nan,nan,nan,nan,nan,10,0.2000291357818616,0.07317684291305718,0.06207018551584635,0.09834226564162245,0.04631403831299408,0.002144990144857483,10,177.56664777336448,25.515396141282825,5.835382700114619,37.85845868036994,50.97755125444739,2598.7107318998105,10,14.129234368079661,5.479951941529983,4.867892117485118,7.485328278263363,3.261954497498156,10.640347143748446
2,11.568913162499996,8.652076762500002,8.652076762500002,10.985545882499997,2.916836399999994,8.507934584364925,2,12.052446814774427,8.958248923526455,8.958248923526455,11.433607236524832,3.0941978912479726,9.5740605902034,front,0.0,90.0,80.0,2,3.3839657310131956,2.323240989326907,2.323240989326907,3.1718207826759377,1.060724741686289,1.1251369776254445,2,scipy_graph_camera_anchored,2,1.0,0.899805603,0.899805603,0.9799611206,0.10019439699999999,0.010038917190193607,2,0.004263092719932388,0.0033108865494122282,0.0033108865494122282,0.004072651485828356,0.0009522061705201596,9.066965911766672e-07,0,nan,nan,nan,nan,nan,nan,2,0.1466840581630525,0.10979763891687247,0.10979763891687247,0.1393067743138165,0.03688641924618002,0.0013606079248049596,2,12.305086874429021,7.761725091133096,7.761725091133096,11.396414517769836,4.543361783295925,20.64213629391393,2,12.053670637201655,8.963113970704786,8.963113970704786,11.435559303902282,3.0905566664968687,9.551540508828237
2,16.45826999999997,10.495757124999983,10.495757124999983,15.265767424999973,5.962512874999987,35.551559784540615,2,19.295895729120815,13.600440736873267,13.600440736873267,18.156804730671304,5.695454992247548,32.438207568717516,front,0.0,180.0,170.0,2,10.076594204827682,8.91714551876642,8.91714551876642,9.84470446761543,1.1594486860612627,1.3443212556091886,2,scipy_graph_camera_anchored,2,0.558461734,0.5198888644999999,0.5198888644999999,0.5507471601,0.038572869499999995,0.00148786626146403,2,0.034938250125028256,0.018639975142379393,0.018639975142379393,0.031678595128498487,0.016298274982648863,0.0002656337674100378,0,nan,nan,nan,nan,nan,nan,2,0.10735004654162662,0.07984123095125144,0.07984123095125144,0.10184828342355158,0.02750881559037519,0.0007567349351852691,2,178.437111362033,176.25814659070988,176.25814659070988,178.00131840776837,2.178964771323109,4.747887474667169,2,19.29798958859875,14.141548733272218,14.141548733272218,18.266701417533444,5.156440855326531,26.58888229448061
