scene_id,im_id,segment_id,raw_selected_candidate,anchored_selected_candidate,selected_polarity,raw_probability,selected_probability,selected_source,lookahead_path_cost,epnp_status,map_heading_source,epnp_rotation_before_deg,epnp_rotation_after_deg,epnp_translation_before_m,epnp_translation_after_m
1,45,0,10,10,0,0.7698141932487488,0.7698141932487488,gigapose_global_rank_1|R1-45|rgb_recovery,276.98206155914767,approved,epnp_raceline,30.819858427462577,30.819858427462577,9.891686717721909,9.891686717721909
1,46,0,15,1,1,0.16517376899719238,0.12338568270206451,gigapose_global_rank_0|R1-20|rgb_recovery|center_preserving_flip180,243.4876652592216,approved,epnp_raceline,9.559357614234662,13.820783375386272,27.827089719012196,18.674639769346307
1,47,0,14,14,1,0.44306957721710205,0.44306957721710205,gigapose_global_rank_0|R1-45|rgb_recovery|center_preserving_flip180,209.1978636939714,approved,epnp_raceline,142.72210864473985,39.59928438687839,9.019698407108184,9.019698407108184
1,48,0,9,15,1,0.7544974088668823,0.03632056340575218,gigapose_global_rank_0|R1-20|rgb_recovery|center_preserving_flip180,178.31922663647322,approved,epnp_raceline,167.26351237694962,16.369303673218262,17.755490892472185,7.605936163902561
1,49,0,11,14,1,0.2676577568054199,0.003976952750235796,gigapose_global_rank_0|R1+45|rgb_recovery|center_preserving_flip180,166.54851204414626,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
1,50,0,6,9,1,0.2851186692714691,0.010213688015937805,gigapose_global_rank_0|R1+20|rgb_recovery|center_preserving_flip180,156.26658774386775,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
1,51,0,3,12,1,0.3643032908439636,0.01852528750896454,gigapose_global_rank_2|align_detection|rgb_recovery|center_preserving_flip180,161.99054352582777,approved,epnp_raceline,158.95776484728282,18.91062650725374,16.22087919367652,7.030227336865607
1,52,0,7,6,0,0.19706566631793976,0.14693884551525116,gigapose_global_rank_0|yaw-30|rgb_recovery,147.8218045606613,approved,epnp_raceline,33.25040130486736,14.676381044057937,11.314927536894746,6.959231313475536
1,53,0,2,13,0,0.18042713403701782,0.10316996276378632,gigapose_global_rank_1|uv0-48|rgb_recovery,148.7608039670343,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
1,54,0,15,9,0,0.14071162045001984,0.09319868683815002,gigapose_global_rank_2|logz-0.35|rgb_recovery,121.59284236003153,approved,epnp_raceline,9.71278920458951,17.269027129303304,26.30692902117624,5.759588623498222
1,55,0,12,14,0,0.3413601219654083,0.0810411348938942,gigapose_global_rank_1|flip180|rgb_recovery,131.01119991325643,approved,epnp_raceline,20.487355086977672,7.406849661254882,11.695316147751656,6.837284462220183
1,56,0,0,2,1,0.16799433529376984,0.01830410398542881,gigapose_global_rank_1|R1+45|rgb_recovery|center_preserving_flip180,97.21987532024293,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
1,57,0,14,9,1,0.25233542919158936,0.0797300711274147,gigapose_global_rank_0|R1+45|rgb_recovery|center_preserving_flip180,67.29137125795803,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
