method,prediction_rows,evaluated_instances,translation_scale_to_mm,score_mean,score_median,score_p90,translation_error_mm_mean,translation_error_mm_median,translation_error_mm_p90,depth_error_mm_mean,depth_error_mm_median,depth_error_mm_p90,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_p90,center_error_px_mean,center_error_px_median,center_error_px_p90,gt_bbox_center_error_px_mean,gt_bbox_center_error_px_median,gt_bbox_center_error_px_p90,add_mm_mean,add_mm_median,add_mm_p90,translation_recall_50mm,translation_recall_100mm,translation_recall_250mm,translation_recall_500mm,translation_recall_1000mm,rotation_recall_5deg,rotation_recall_10deg,rotation_recall_20deg,rotation_recall_45deg,rotation_recall_90deg
original,9940,1988,1.0,0.13316421969315895,0.125,0.24609375,42549.13695050742,8214.220788762812,102338.37433941917,40040.922963655896,8063.240820296827,97510.4414738396,57.03556241072077,16.926915127488982,170.60890892370057,32.091480618066285,6.980194104849902,49.081748978619935,17.278579833679753,5.4367506915426675,42.1373442472923,42646.93455483868,8313.086061890615,102286.29313841717,0.0,0.0005030181086519115,0.007042253521126761,0.02414486921529175,0.05482897384305835,0.2278672032193159,0.3903420523138833,0.533702213279678,0.6292756539235412,0.6946680080482898
finetune,9940,1988,1.0,0.12982582997987926,0.12109375,0.2421875,119933.30782125186,8792.695952110207,142153.28556312376,113287.35600737976,8612.763002094993,135139.0182001893,48.02068887390243,14.22950493648096,160.24736735256724,31.728893893308157,7.3300266782552015,48.051095883433725,17.95237180245897,5.275465547712853,39.16378538481231,120003.10035006286,8975.247137754995,141765.79429407674,0.0005030181086519115,0.0015090543259557343,0.004527162977867203,0.013078470824949699,0.029175050301810865,0.28420523138833,0.4245472837022133,0.5608651911468813,0.6685110663983903,0.7515090543259557
finetune2,9940,1988,1.0,0.12362063003018109,0.125,0.21484375,78941.02090477907,5955.467656988321,112569.24981531843,74760.64821207938,5897.253453280537,108200.2556682692,62.48095701021095,21.441756400922166,173.16852177728342,30.682036291595264,6.516053397143555,44.2592996689359,18.19516086695865,5.91164965876148,42.78662770324736,79115.62744789178,6125.186053559025,112941.71141025929,0.0005030181086519115,0.0035211267605633804,0.021629778672032193,0.053822937625754526,0.12173038229376258,0.2535211267605634,0.3727364185110664,0.4894366197183099,0.5930583501006036,0.6599597585513078
finetune3,9940,1988,1.0,0.20441398390342053,0.21875,0.3292968749999998,41182.519936896206,5833.051493552181,86942.51711070244,38634.452463752095,5745.347855545457,81623.59984490188,66.04513218135314,22.091364202914498,176.56986512956124,31.219042424792544,6.571880325183173,47.57468432584719,20.806630481297088,6.236704131038595,48.27219450617392,41409.690182744795,5907.583471343763,86674.1199379761,0.0,0.001006036217303823,0.022635814889336015,0.07092555331991952,0.13028169014084506,0.22585513078470826,0.3687122736418511,0.48843058350100604,0.5699195171026157,0.6458752515090543
