method,scene_id,im_id,instance_id,gt_index,score,translation_error_mm,depth_error_mm,rotation_error_deg,center_error_px,gt_bbox_center_error_px,add_mm,pred_z_mm,gt_z_mm,translation_scale_to_mm,pred_bbox_iou,pred_mask_iou,camera_id
original,2,695,1782,0,0.03125,8661.232824136021,8331.99546813278,25.05760901152511,2.7277797736503415,2.605685255263337,8800.787868472153,284428.5,292760.4954681328,1.0,0.49122807017543857,0.55,rear
original,1,150,969,0,0.0546875,7307.895493196333,7137.913031267883,4.856669621354887,9.175453717277168,10.479551616646207,7297.231107145328,42468.64453125,35330.73149998212,1.0,0.6660453557005281,0.4196515004840271,front
original,1,150,968,1,0.234375,3345.8267393501915,3332.3738331675395,4.764423254082776,12.170755849025609,2.9802186690788,3344.151965194356,17521.123046875,14188.74921370746,1.0,0.6063983488132095,0.5611036754864615,front
original,4,475,1468,0,0.15234375,18360.312731946087,18127.411067920635,165.85922943463066,0.6449065688233424,0.5800954162145122,18889.57821337665,146619.40625,128491.99518207936,1.0,0.8192543652666352,0.7639097744360902,stereo_right
original,1,1075,357,0,0.27734375,6582.635757329382,6582.285534696704,1.698716767336658,1.829297489150126,0.844809010048937,6584.354157880448,30713.060546875,24130.775012178296,1.0,0.6227445394112061,0.5946915351506457,front
original,1,1145,462,0,0.24609375,5247.80392711603,5240.596973032298,0.889396210613353,4.49267141793454,1.93023492049988,5250.46954580536,24065.017578125,18824.420605092702,1.0,0.6178918169209431,0.5918196994991652,front
original,4,420,1382,0,0.0859375,29358.171209699813,29358.013868671726,178.40590716258933,1.677289201509466,1.820345378062829,29889.936976313187,161056.390625,131698.37675632827,1.0,0.7136854741896759,0.6007359705611776,stereo_right
original,1,1555,900,0,0.21875,3825.2617537974093,3824.350810737178,7.6625727257225416,5.736822511883955,3.807821391904257,3828.265570542433,18054.591796875,14230.240986137822,1.0,0.577304964539007,0.5427372836916623,front
original,1,1555,901,1,0.0,186403.7148283982,182099.19061915838,134.04100069126628,0.26758161404977493,0.3001227587916977,186875.3037434463,315492.6875,497591.8781191584,1.0,0.75,0.5,front
original,4,1370,764,0,0.2109375,3122.508717545242,3122.2211584398647,3.330303551809654,13.080149924382832,5.858973017384263,3122.2512029265185,22004.94140625,18882.720247810135,1.0,0.7230842544486674,0.6803811620626784,stereo_right
original,1,450,1429,0,0.140625,4733.635088085862,4034.5233478782175,25.360613141256916,4.809161938694896,5.070141149680886,4747.238791270146,95214.1328125,91179.60946462178,1.0,0.34375,0.3273657289002558,front
original,4,1575,923,0,0.2109375,2903.9512425551998,2903.2304370257025,8.038269957119368,35.40685532118967,12.265496112632267,2907.2229800333216,15046.9033203125,12143.672883286798,1.0,0.6295939269791541,0.5949072618673373,stereo_right
original,3,1005,248,0,0.19921875,16260.995420499748,16258.505612428089,1.194939437258498,1.0718177660902886,0.651673240059263,16261.370839566132,75426.0390625,59167.53345007191,1.0,0.6128301886792453,0.5990003844675125,stereo_left
original,1,1050,322,0,0.16015625,17302.10671217568,16967.886060492863,5.075957454501568,5.732341452874115,7.348361165489432,17304.9869653668,56304.1796875,39336.29362700714,1.0,0.5730027548209367,0.4039301310043668,front
original,2,1305,706,0,0.0,171178.81541886402,166729.88931790646,154.77611897548942,0.32327199551270813,0.23402213900397292,171616.68240244046,420656.96875,587386.8580679065,1.0,1.0,0.5833333333333334,rear
original,3,1190,536,0,0.1328125,6368.708482220714,6337.393588438154,159.7641848115034,489.807332746046,32.61663454954372,6817.79030388522,11891.19921875,5553.805630311846,1.0,0.6842494778332685,0.5406563244944504,stereo_left
original,3,1495,848,0,0.08203125,6212.786876641942,6144.1982610315845,28.841468985594265,184.42243199367132,51.03761295326981,6235.697851709226,18565.611328125,12421.413067093416,1.0,0.7372591535597841,0.5305295020934832,stereo_left
original,3,825,8,0,0.03125,50936.52256466109,49274.95635591342,141.76383736109383,108.05849612649045,20.23062816083147,50866.72682865292,90730.703125,41455.74676908658,1.0,0.5280146820684444,0.36359051941502774,stereo_left
original,1,900,95,0,0.05078125,3554.876077589003,3455.5922892475064,7.778525240980211,0.8521812582985927,0.9510749919889929,3543.099376667076,50772.39453125,47316.80224200249,1.0,0.7784583971413986,0.6089478044739023,front
original,4,1160,487,0,0.19921875,4666.880798059059,4666.011874418215,3.7996342619673618,6.660496685640213,4.054474443687565,4667.103145760356,22588.369140625,17922.357266206785,1.0,0.6251428333991232,0.5687447151971712,stereo_right
original,1,180,1004,0,0.109375,10697.562592866334,9051.578747323467,19.177014345533852,8.955143837719316,10.48756524755517,10696.171925573135,42958.99609375,33907.41734642653,1.0,0.4582651391162029,0.4072072072072072,front
original,1,180,1003,1,0.25390625,1469.03372434253,1313.9515213839913,15.589922347796893,16.4336706410554,8.262585021813836,1530.1964894459882,12528.650390625,11214.698869241009,1.0,0.651965078693774,0.4909221320661676,front
original,4,920,124,0,0.09765625,10278.295243304605,9958.861637069553,10.051515032995678,9.94113055692108,9.551819980603351,10271.530217255751,61124.640625,51165.77898793045,1.0,0.5433751380856456,0.5080185693184216,stereo_right
original,3,60,1678,0,0.17578125,9277.348441470267,9244.797480668807,177.974538948902,2.428403867202111,1.5098838416283011,9842.177803435161,47734.51171875,38489.71423808119,1.0,0.6851406009244992,0.6465015664627779,stereo_left
original,3,60,1679,1,0.12109375,7229.4718742597515,7195.296351452933,4.574230076798964,21.89509874408038,16.942896063427305,7222.9139073588285,39286.23828125,32090.941929797067,1.0,0.6733766233766234,0.5903932558247256,stereo_left
original,3,245,1114,0,0.26171875,207.2681360546033,195.94303227547425,5.120517819616357,29.80548111132824,181.4380686009783,225.35786880645537,7291.71337890625,7095.770346630776,1.0,0.9442361114207619,0.7930440030594197,stereo_left
original,4,1000,244,0,0.17578125,15650.36245143664,15639.386504557333,4.735443260802856,6.984558845550043,5.525853515307164,15649.848086746373,74703.59375,59064.20724544267,1.0,0.662403474903475,0.5869487271423449,stereo_right
original,3,345,1281,0,0.09375,113848.06884213112,113776.42217887376,25.788024895478724,6.580513107022997,6.8514985050962345,113879.53614618,283690.9375,169914.51532112624,1.0,0.4824120603015075,0.4109042553191489,stereo_left
