scene_id,im_id,gt_index,camera_id,model_a,model_b,finetune_score,finetune2_score,score_winner,finetune2_minus_finetune_score,finetune_translation_error_mm,finetune2_translation_error_mm,translation_error_mm_winner,finetune_minus_finetune2_translation_error_mm,finetune_depth_error_mm,finetune2_depth_error_mm,depth_error_mm_winner,finetune_minus_finetune2_depth_error_mm,finetune_rotation_error_deg,finetune2_rotation_error_deg,rotation_error_deg_winner,finetune_minus_finetune2_rotation_error_deg,finetune_center_error_px,finetune2_center_error_px,center_error_px_winner,finetune_minus_finetune2_center_error_px,finetune_gt_bbox_center_error_px,finetune2_gt_bbox_center_error_px,gt_bbox_center_error_px_winner,finetune_minus_finetune2_gt_bbox_center_error_px,finetune_add_mm,finetune2_add_mm,add_mm_winner,finetune_minus_finetune2_add_mm,finetune_pred_bbox_iou,finetune2_pred_bbox_iou,pred_bbox_iou_winner,finetune2_minus_finetune_pred_bbox_iou,finetune_pred_mask_iou,finetune2_pred_mask_iou,pred_mask_iou_winner,finetune2_minus_finetune_pred_mask_iou,finetune3_score,finetune3_minus_finetune_score,finetune3_translation_error_mm,finetune_minus_finetune3_translation_error_mm,finetune3_depth_error_mm,finetune_minus_finetune3_depth_error_mm,finetune3_rotation_error_deg,finetune_minus_finetune3_rotation_error_deg,finetune3_center_error_px,finetune_minus_finetune3_center_error_px,finetune3_gt_bbox_center_error_px,finetune_minus_finetune3_gt_bbox_center_error_px,finetune3_add_mm,finetune_minus_finetune3_add_mm,finetune3_pred_bbox_iou,finetune3_minus_finetune_pred_bbox_iou,finetune3_pred_mask_iou,finetune3_minus_finetune_pred_mask_iou,original_score,original_minus_finetune_score,original_translation_error_mm,finetune_minus_original_translation_error_mm,original_depth_error_mm,finetune_minus_original_depth_error_mm,original_rotation_error_deg,finetune_minus_original_rotation_error_deg,original_center_error_px,finetune_minus_original_center_error_px,original_gt_bbox_center_error_px,finetune_minus_original_gt_bbox_center_error_px,original_add_mm,finetune_minus_original_add_mm,original_pred_bbox_iou,original_minus_finetune_pred_bbox_iou,original_pred_mask_iou,original_minus_finetune_pred_mask_iou,finetune3_minus_finetune2_score,finetune2_minus_finetune3_translation_error_mm,finetune2_minus_finetune3_depth_error_mm,finetune2_minus_finetune3_rotation_error_deg,finetune2_minus_finetune3_center_error_px,finetune2_minus_finetune3_gt_bbox_center_error_px,finetune2_minus_finetune3_add_mm,finetune3_minus_finetune2_pred_bbox_iou,finetune3_minus_finetune2_pred_mask_iou,original_minus_finetune2_score,finetune2_minus_original_translation_error_mm,finetune2_minus_original_depth_error_mm,finetune2_minus_original_rotation_error_deg,finetune2_minus_original_center_error_px,finetune2_minus_original_gt_bbox_center_error_px,finetune2_minus_original_add_mm,original_minus_finetune2_pred_bbox_iou,original_minus_finetune2_pred_mask_iou,original_minus_finetune3_score,finetune3_minus_original_translation_error_mm,finetune3_minus_original_depth_error_mm,finetune3_minus_original_rotation_error_deg,finetune3_minus_original_center_error_px,finetune3_minus_original_gt_bbox_center_error_px,finetune3_minus_original_add_mm,original_minus_finetune3_pred_bbox_iou,original_minus_finetune3_pred_mask_iou
1,0,0,front,finetune,finetune2,0.2421875,0.19140625,finetune,-0.05078125,3688.5045126204277,1299.6095472345114,finetune2,2388.8949653859163,3687.0717062967906,1299.3334250467906,finetune2,2387.73828125,1.347857925869834,0.7270228700739503,finetune2,0.6208350557958837,5.834820735480395,1.8062687397380461,finetune2,4.028551995742349,2.5284619508307546,2.4519491504928888,finetune2,0.0765128003378659,3687.344471127279,1298.5702752662182,finetune2,2388.774195861061,0.6103916127042861,0.8353376503237743,finetune2,0.22494603761948817,0.5886244921648288,0.7924723756906077,finetune2,0.20384788352577887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,front,finetune,finetune3,0.2421875,,finetune3,,3688.5045126204277,,finetune3,,3687.0717062967906,,finetune3,,1.347857925869834,,finetune,,5.834820735480395,,finetune3,,2.5284619508307546,,finetune3,,3687.344471127279,,finetune3,,0.6103916127042861,,finetune3,,0.5886244921648288,,finetune3,,0.28125,0.0390625,1902.4245114462797,1786.080001174148,1901.9564719217906,1785.115234375,179.44710488627857,-178.09924696040872,2.7224399205924668,3.1123808148879286,2.077199735966063,0.45126221486469165,3275.781077049933,411.56339407734595,0.7612550107924761,0.15086339808819005,0.6848180970149254,0.09619360485009654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,front,finetune,original,0.2421875,,finetune,,3688.5045126204277,,original,,3687.0717062967906,,original,,1.347857925869834,,finetune,,5.834820735480395,,original,,2.5284619508307546,,finetune,,3687.344471127279,,original,,0.6103916127042861,,original,,0.5886244921648288,,original,,,,,,,,,,,,,,,,,,,,0.2109375,-0.03125,2387.3488067826734,1301.1557058377543,2387.0541281717906,1300.017578125,4.479985401053402,-3.132127475183568,2.4377900015713814,3.397030733909014,3.1575299856466295,-0.6290680348158748,2386.616886451524,1300.7275846757552,0.7550107924761024,0.14461917977181626,0.6783377338996671,0.0897132417348383,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,front,finetune2,finetune3,,0.19140625,finetune3,,,1299.6095472345114,finetune2,,,1299.3334250467906,finetune2,,,0.7270228700739503,finetune2,,,1.8062687397380461,finetune2,,,2.4519491504928888,finetune3,,,1298.5702752662182,finetune2,,,0.8353376503237743,finetune2,,,0.7924723756906077,finetune2,,0.28125,,1902.4245114462797,,1901.9564719217906,,179.44710488627857,,2.7224399205924668,,2.077199735966063,,3275.781077049933,,0.7612550107924761,,0.6848180970149254,,,,,,,,,,,,,,,,,,,,0.08984375,-602.8149642117683,-602.623046875,-178.72008201620463,-0.9161711808544206,0.37474941452682575,-1977.210801783715,-0.07408263953129812,-0.10765427867568234,,,,,,,,,,,,,,,,,,
1,0,0,front,finetune2,original,,0.19140625,original,,,1299.6095472345114,finetune2,,,1299.3334250467906,finetune2,,,0.7270228700739503,finetune2,,,1.8062687397380461,finetune2,,,2.4519491504928888,finetune2,,,1298.5702752662182,finetune2,,,0.8353376503237743,finetune2,,,0.7924723756906077,finetune2,,,,,,,,,,,,,,,,,,,,0.2109375,,2387.3488067826734,,2387.0541281717906,,4.479985401053402,,2.4377900015713814,,3.1575299856466295,,2386.616886451524,,0.7550107924761024,,0.6783377338996671,,,,,,,,,,,0.01953125,-1087.739259548162,-1087.720703125,-3.7529625309794516,-0.6315212618333352,-0.7055808351537407,-1088.0466111853057,-0.0803268578476719,-0.11413464179094057,,,,,,,,,
1,0,0,front,finetune3,original,,,finetune3,,,,finetune3,,,,finetune3,,,,original,,,,original,,,,finetune3,,,,original,,,,finetune3,,,,finetune3,,0.28125,,1902.4245114462797,,1901.9564719217906,,179.44710488627857,,2.7224399205924668,,2.077199735966063,,3275.781077049933,,0.7612550107924761,,0.6848180970149254,,0.2109375,,2387.3488067826734,,2387.0541281717906,,4.479985401053402,,2.4377900015713814,,3.1575299856466295,,2386.616886451524,,0.7550107924761024,,0.6783377338996671,,,,,,,,,,,,,,,,,,,,-0.0703125,-484.9242953363937,-485.09765625,174.96711948522517,0.2846499190210854,-1.0803302496805665,889.1641905984093,-0.006244218316373784,-0.006480363115258236
1,0,1,front,finetune,finetune2,0.03125,0.03515625,finetune2,0.00390625,522.8642736505694,801.2245081500531,finetune,-278.3602344994837,291.44498933965497,363.55827058965497,finetune,-72.11328125,45.35469501581683,132.64794684439718,finetune,-87.29325182858035,47.91242321188102,66.98297040784173,finetune,-19.070547195960714,62.93166360222079,77.2835186331976,finetune,-14.351855030976814,1172.6141682570749,2612.774375335686,finetune,-1440.160207078611,0.5834348061968775,0.5225443071569698,finetune,-0.06089049903990773,0.44453465644264023,0.4147549038134472,finetune,-0.029779752629193024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,front,finetune,finetune3,0.03125,,finetune3,,522.8642736505694,,finetune,,291.44498933965497,,finetune,,45.35469501581683,,finetune,,47.91242321188102,,finetune,,62.93166360222079,,finetune,,1172.6141682570749,,finetune,,0.5834348061968775,,finetune,,0.44453465644264023,,finetune,,0.125,0.09375,747.0555653241684,-224.19129167359893,703.331377847845,-411.88638850819007,148.5117155568728,-103.15702054105596,95.77510939944209,-47.86268618756107,104.13708779185035,-41.20542418962956,2551.6291328972334,-1379.0149646401585,0.4379466072143143,-0.1454881989825632,0.42278195581876526,-0.021752700623874965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,front,finetune,original,0.03125,,original,,522.8642736505694,,finetune,,291.44498933965497,,finetune,,45.35469501581683,,finetune,,47.91242321188102,,finetune,,62.93166360222079,,finetune,,1172.6141682570749,,finetune,,0.5834348061968775,,finetune,,0.44453465644264023,,finetune,,,,,,,,,,,,,,,,,,,,0.03515625,0.00390625,3703.5677172870614,-3180.703443636492,2800.578778402155,-2509.1337890625,45.91616739518982,-0.5614723793729866,55.843011031770665,-7.930587819889645,69.12731972123568,-6.195656119014892,3966.859373892786,-2794.2452056357115,0.561556325540329,-0.021878480656548516,0.3571008699741359,-0.0874337864685043,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,front,finetune2,finetune3,,0.03515625,finetune3,,,801.2245081500531,finetune3,,,363.55827058965497,finetune2,,,132.64794684439718,finetune2,,,66.98297040784173,finetune2,,,77.2835186331976,finetune2,,,2612.774375335686,finetune3,,,0.5225443071569698,finetune2,,,0.4147549038134472,finetune3,,0.125,,747.0555653241684,,703.331377847845,,148.5117155568728,,95.77510939944209,,104.13708779185035,,2551.6291328972334,,0.4379466072143143,,0.42278195581876526,,,,,,,,,,,,,,,,,,,,0.08984375,54.168942825884756,-339.77310725819007,-15.863768712475604,-28.792138991600353,-26.853569158652746,61.14524243845244,-0.08459769994265548,0.008027052005318058,,,,,,,,,,,,,,,,,,
