match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj,source_selected_csv
image_4480021161914,1,2241,1,1134,5670,0.21875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480021161914_0.json,0,1743.3168033948741,3.7172668181431385,2.1565119892324955,2.979091472475068,0.6008230319516288,-0.308301210403 -0.948868274689 0.0678191408515 4910.38134766 -0.0209569726139 -0.0644999295473 -0.997697710991 1400.44641113 0.951057910919 -0.309012651443 0 17963.75 0 0 0 1,-0.0444971625964 -0.998575722617 0.0294381323193 4702.16221691 0.0389655384275 -0.0311797139054 -0.998754059008 589.455141509 0.998249296931 -0.043294639685 0.0402974444027 11625.7910822 0 0 0 1,-0.0343831814826 -0.999391555786 -0.00583486445248 4331.40802383 -0.013084763661 0.00628797058016 -0.999894618988 646.669387817 0.999323070049 -0.0343031808734 -0.0132930045947 13328.2661438 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480112272168,1,2242,1,1136,5680,0.21484375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480112272168_0.json,0,1999.7493573008662,3.771862171174835,2.339696479018323,2.8385666791336055,0.8946181961752705,-0.308276355267 -0.948791801929 0.0689910501242 4789.30566406 -0.0213191080838 -0.0656144842505 -0.99761724472 1382.28259277 0.951057910919 -0.309012651443 0 17836.4550781 0 0 0 1,-0.0445428931514 -0.998538350742 0.0306113114461 4582.03928322 0.0389132373835 -0.0323526852661 -0.9987186769 571.047387628 0.998249296931 -0.043294639685 0.0402974444027 11498.4961603 0 0 0 1,-0.029389699921 -0.999536335468 -0.00796025060117 4274.289608 -0.0107478788123 0.00827923417091 -0.999907970428 657.970666885 0.999510288239 -0.0293014682829 -0.0109862219542 13472.5103378 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480325302441,1,2243,1,1138,5690,0.20703125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480325302441_0.json,0,1938.4585197957679,3.856104351483961,2.2078860413541643,2.7060612207216774,1.6879656088111903,-0.308394670486 -0.949155926704 0.063211068511 4622.05957031 -0.0195330195129 -0.0601173862815 -0.998000144958 1384.22399902 0.951057910919 -0.309012651443 0 17582.9023438 0 0 0 1,-0.0443167398788 -0.998708967405 0.0248255947711 4410.09752869 0.0391706056972 -0.0265679819558 -0.9988792391 574.203017125 0.998249296931 -0.043294639685 0.0402974444027 11244.943426 0 0 0 1,-0.0154685107991 -0.999813497066 -0.0115609159693 4160.26639938 -0.00839363783598 0.01169173792 -0.999896347523 672.496914864 0.999845147133 -0.0153699060902 -0.00857292674482 13164.7205353 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480411080500,1,2244,1,1140,5700,0.2109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480411080500_0.json,0,1059.4005227641164,4.015093884129839,1.4618926311266753,2.76482069622689,2.5537929086806153,-0.308643847704 -0.949922859669 0.0488411709666 5081.52099609 -0.015092539601 -0.0464507825673 -0.998806536198 1493.46252441 0.951057910919 -0.309012651443 0 18924.6015625 0 0 0 1,-0.0437483921504 -0.998987918833 0.0104470205075 4857.92290963 0.0398043617499 -0.0121916785885 -0.999133090465 686.576011985 0.998249296931 -0.043294639685 0.0402974444027 12586.6426447 0 0 0 1,0.000130656146212 -0.999916613102 -0.0129148522392 4190.66047668 -0.0090203108266 0.0129131479189 -0.99987590313 670.081019402 0.999959409237 0.000247163319727 -0.0090178726241 13409.3322754 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480510016270,1,2245,1,1142,5710,0.21484375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480510016270_0.json,0,3333.7671332355426,4.581960076823787,0.21197117906532226,2.8469487274884284,3.5789798202326892,-0.308958441019 -0.950891077518 0.0187310446054 4526.75097656 -0.00578812975436 -0.0178143084049 -0.99982458353 1431.08105469 0.951057910919 -0.309012651443 0 16402.2617188 0 0 0 1,-0.0425294815085 -0.998901854704 -0.0196555204826 4278.9478059 0.0411041721596 0.0179072811169 -0.99899440748 631.296342003 0.998249296931 -0.043294639685 0.0402974444027 10064.302801 0 0 0 1,0.0191746167839 -0.999720513821 -0.0138278016821 4252.6884079 -0.0094381691888 0.0136487381533 -0.999862253666 656.904220581 0.999771595001 0.0193024985492 -0.00917382352054 13397.8681564 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480622332089,1,2246,1,1145,5725,0.203125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480622332089_0.json,0,1497.9950054727346,5.584193941426152,0.8879231573082796,2.751446966625183,4.799359462493032,-0.308809518814 -0.9504327178 0.0362545400858 4964.33544922 -0.0112031111494 -0.0344801656902 -0.999342620373 1447.83618164 0.951057910919 -0.309012651443 0 18011.3671875 0 0 0 1,-0.0432434865572 -0.999062300364 -0.00214068050939 4730.59016616 0.0403523382122 0.000394332964967 -0.999185467129 643.830500943 0.998249296931 -0.043294639685 0.0402974444027 11673.4082697 0 0 0 1,0.0396902523935 -0.99909132719 -0.0155263077468 4347.19657898 -0.00895402859896 0.0151823041961 -0.999844610691 659.804522991 0.99917191267 0.0398231334984 -0.00834330357611 13121.421814 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480723389449,1,2247,1,1147,5735,0.203125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480723389449_0.json,0,1389.2627364771918,6.925373411358625,1.872764496696646,2.6895439632205154,6.145773512235943,-0.308611005545 -0.949821710587 0.0509702786803 5229.32177734 -0.0157504603267 -0.0484756864607 -0.998700201511 1445.95959473 0.951057910919 -0.309012651443 0 18087.1289062 0 0 0 1,-0.0438331693883 -0.998959698171 0.0125769091936 5007.44441572 0.0397110125431 -0.0143212533751 -0.999108602136 638.598214824 0.998249296931 -0.043294639685 0.0402974444027 11749.1699885 0 0 0 1,0.0624640807509 -0.997884869576 -0.0179969519377 4486.75632477 -0.00913369562477 0.0174598600715 -0.999805808067 647.442162037 0.998005330563 0.062616288662 -0.00802376493812 13037.1360779 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480818382067,1,2248,1,1149,5745,0.19921875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480818382067_0.json,0,1453.0668703964534,8.187355591034985,2.2496730878898177,2.6365049399795075,7.470718587926931,-0.308522671461 -0.949549853802 0.0562919713557 5393.50048828 -0.0173949319869 -0.0535369254649 -0.998414337635 1396.00134277 0.951057910919 -0.309012651443 0 18043.4765625 0 0 0 1,-0.0440441757666 -0.998869162028 0.0179013247923 5175.92896778 0.0394768438878 -0.0196448524981 -0.999027344075 587.469006721 0.998249296931 -0.043294639685 0.0402974444027 11705.5176447 0 0 0 1,0.0852671265602 -0.996171712875 -0.0192736200988 4641.93487167 -0.00901095289737 0.0185722764581 -0.999786913395 646.454751492 0.996317327023 0.0854226648808 -0.0073928530328 13055.6192398 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4480922481002,1,2249,1,1151,5755,0.1953125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4480922481002_0.json,0,1022.865505796706,9.590338286861007,3.1345559790083706,2.5261532879980955,8.775732451530436,-0.308257758617 -0.94873458147 0.0698555111885 5822.84765625 -0.0215862374753 -0.0664366334677 -0.997557103634 1406.39562988 0.951057910919 -0.309012651443 0 18548.0097656 0 0 0 1,-0.0445765918042 -0.998509933078 0.0314767418507 5616.2843031 0.0388746239164 -0.033217954398 -0.998691793321 594.981115402 0.998249296931 -0.043294639685 0.0402974444027 12210.0508478 0 0 0 1,0.107353419065 -0.993995189667 -0.0211826656014 4814.80741501 -0.00840552151203 0.0203976351768 -0.999756574631 633.884549141 0.994185447693 0.107505343854 -0.00616529490799 12844.3813324 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4481010078166,1,2250,1,1153,5765,0.19921875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4481010078166_0.json,0,2207.448001381604,10.447011545717398,2.4059622692557636,2.5005743203727544,9.908053769350989,-0.308511316776 -0.94951492548 0.0569396838546 5577.29785156 -0.0175950825214 -0.0541529357433 -0.998377621174 1377.00097656 0.951057910919 -0.309012651443 0 17131.6152344 0 0 0 1,-0.044069771649 -0.998856209506 0.018549443208 5360.25087818 0.0394482626502 -0.0202928653218 -0.999015533428 568.327649037 0.998249296931 -0.043294639685 0.0402974444027 10793.6563166 0 0 0 1,0.12747643888 -0.99160951376 -0.0214535016567 4951.11608505 -0.00783978775144 0.0206219162792 -0.999756574631 645.520448685 0.991810619831 0.127613633871 -0.00514520006254 12961.4839554 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4481111052896,1,2251,1,1156,5780,0.1953125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4481111052896_0.json,0,2168.689645490344,11.560164189802784,2.7164700910505615,2.4746056625968116,11.021377573904884,-0.308436393738 -0.949284315109 0.0610429756343 5733.05322266 -0.0188630521297 -0.0580554045737 -0.998135149479 1377.36633301 0.951057910919 -0.309012651443 0 16961.3417969 0 0 0 1,-0.0442315547196 -0.998764363829 0.0226556809804 5519.3321199 0.0392667832775 -0.0243984344173 -0.998930857212 567.80767193 0.998249296931 -0.043294639685 0.0402974444027 10623.3828791 0 0 0 1,0.146507516503 -0.988947510719 -0.0227720011026 5088.57631683 -0.00822141952813 0.0218022931367 -0.999728500843 621.994674206 0.989175438881 0.14665491879 -0.00493635190651 12748.1718063 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4481211315962,1,2252,1,1158,5790,0.1953125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4481211315962_0.json,0,2145.4587414194,12.403302352024214,2.142279886679121,2.455310834051471,12.015263186242542,-0.308621436357 -0.94985383749 0.0503040552139 5893.76855469 -0.0155445896089 -0.0478420704603 -0.99873393774 1401.2154541 0.951057910919 -0.309012651443 0 16796.1855469 0 0 0 1,-0.0438066618956 -0.99896902843 0.0119104221749 5671.35262243 0.0397402416643 -0.0136548677759 -0.999116726987 594.002299778 0.998249296931 -0.043294639685 0.0402974444027 10458.2266291 0 0 0 1,0.164031371474 -0.986174166203 -0.02354045026 5222.11170197 -0.00795705243945 0.0225401539356 -0.999714314938 622.634410858 0.986423015594 0.164171800017 -0.0041497470811 12555.929184 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4481318187111,1,2253,1,1160,5800,0.18359375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4481318187111_0.json,0,2358.0222286909166,13.165953398111903,2.587195855372986,2.3720235621914965,12.745150115525728,-0.308528959751 -0.949569225311 0.0559292212129 5936.11474609 -0.0172828361392 -0.0531919300556 -0.998434722424 1385.6192627 0.951057910919 -0.309012651443 0 16200.9384766 0 0 0 1,-0.044029823708 -0.998876214133 0.0175383554405 5718.24945215 0.0394928451328 -0.019281940136 -0.999033780589 577.166018942 0.998249296931 -0.043294639685 0.0402974444027 9862.97955877 0 0 0 1,0.176295936108 -0.984001040459 -0.0257226210088 5344.32935715 -0.00753562012687 0.0247819796205 -0.999664485455 615.917563438 0.984308362007 0.176430612803 -0.00304609583691 12190.8435822 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4481420275054,1,2254,1,1162,5810,0.1640625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4481420275054_0.json,0,2024.6893220185393,14.866285636400598,5.422179563086333,2.1890147117085825,13.778130480517904,-0.30731549859 -0.945834577084 0.104662165046 6169.53710938 -0.0323419347405 -0.0995397791266 -0.994507849216 1314.18945312 0.951057910919 -0.309012651443 0 16270.5117188 0 0 0 1,-0.0459074491178 -0.996740028767 0.0663464606577 5991.44626488 0.0372936286232 -0.0680802595783 -0.996982594655 496.053988156 0.998249296931 -0.043294639685 0.0402974444027 9932.55280096 0 0 0 1,0.192219600081 -0.980997741222 -0.0263620354235 5483.78753662 -0.00715961446986 0.0254604015499 -0.99965018034 607.142388821 0.981325745583 0.192341059446 -0.00212957593612 11889.4147873 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_4481509782045,1,2255,1,1164,5820,0.1796875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/4481509782045_0.json,0,2636.9176687864606,14.902840249205658,2.4956159379223166,2.3106901973148957,14.56211149961482,-0.308580100536 -0.949726581573 0.0528928935528 6269.00244141 -0.0163445733488 -0.0503042042255 -0.998600184917 1384.67211914 0.951057910919 -0.309012651443 0 15565.5585938 0 0 0 1,-0.0439095420402 -0.998930231494 0.0145003830118 6048.679867 0.0396265485219 -0.0162444370216 -0.999082500235 576.885108855 0.998249296931 -0.043294639685 0.0402974444027 9227.59967596 0 0 0 1,0.207484483719 -0.97785949707 -0.0272157955915 5622.00593948 -0.00751293357462 0.0262275338173 -0.999627768993 583.046793938 0.978209376335 0.207611709833 -0.00190478621516 11829.7615051 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
