match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj,source_selected_csv
image_5420693411940,1,3373,1,2005,10025,0.234375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5420693411940_0.json,0,1500.866818074105,1.9679938549460343,0.9413928070785583,0.11473289146040903,1.723518896774611,0 -0.999999880791 -0.000489078403916 5507.22802734 0 0.000489078403916 -0.999999880791 3767.18969727 1 0 0 70571.6953125 0 0 0 1,0.0486022210776 -0.998525542526 -0.0241777957896 4102.78187334 0.0412237034943 0.0261911233522 -0.998806603956 2616.73502886 0.997967148948 0.0475475210575 0.0424358676309 54051.9502258 0 0 0 1,0.0185555871576 -0.999798357487 -0.00767175294459 4698.77767563 0.043498814106 0.00847307033837 -0.999017596245 2591.05467796 0.998881161213 0.0182036515325 0.0436472631991 55429.1687012 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5420795251353,1,3374,1,2007,10035,0.2421875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5420795251353_0.json,0,830.9263039965391,1.7215586447672324,0.06639179913899271,0.03586520779609285,1.7197717940290258,0 -0.99985820055 0.0168395210057 5529.85253906 0 -0.0168395210057 -0.99985820055 3816.00146484 1 0 0 72167.1796875 0 0 0 1,0.0478805770963 -0.998829462271 -0.00686631712534 4145.55295602 0.0420597184887 0.00888421275709 -0.999075593496 2641.38255871 0.997967148948 0.0475475210575 0.0424358676309 55647.4346008 0 0 0 1,0.017888225615 -0.999807953835 -0.00799373816699 4691.28751755 0.0429672300816 0.0087563386187 -0.999038100243 2616.04619026 0.998916268349 0.0175275579095 0.04311561957 56273.5099792 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5421093762406,1,3376,1,2012,10060,0.2421875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5421093762406_0.json,0,704.8307591997302,1.8871845340750355,0.48710565208057255,0.09906794834688774,1.8203378832847708,0 -0.999761402607 0.0218439456075 5411.64892578 0 -0.0218439456075 -0.999761402607 3812.46166992 1 0 0 75159.0546875 0 0 0 1,0.0476694546056 -0.998861433363 -0.00186551313197 4033.24603617 0.0422988510429 0.00388461548732 -0.999097461245 2630.92856367 0.997967148948 0.0475475210575 0.0424358676309 58639.3096008 0 0 0 1,0.0158996991813 -0.999819099903 -0.0104396697134 4660.00652313 0.0409441441298 0.011083278805 -0.999100029469 2663.17892075 0.999035060406 0.0154579430819 0.0411129519343 58960.1173401 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5421307836678,1,3378,1,2016,10080,0.26953125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5421307836678_0.json,0,1560.7971842333686,2.137882002470986,1.0062211190830146,0.30006196057788437,1.8597585740934697,0 -0.999504745007 0.0314687415957 5241.08251953 0 -0.0314687415957 -0.999504745007 3698.80688477 1 0 0 75712.0234375 0 0 0 1,0.0472599871796 -0.998852534786 0.00775398935936 3874.11944852 0.0427558569213 -0.00573270809374 -0.999069111596 2504.05713713 0.997967148948 0.0475475210575 0.0424358676309 59192.2783508 0 0 0 1,0.0147678265348 -0.99984061718 -0.0100353928283 4645.91598511 0.0378869771957 0.010588821955 -0.999225914478 2565.8762455 0.999172985554 0.0143761765212 0.0380373112857 60547.4891663 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5421393428072,1,3379,1,2018,10090,0.23828125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5421393428072_0.json,0,3753.228574361061,1.9512093920069633,0.5666962040504326,0.30659342434774717,1.8402851673300546,0 -0.999704241753 0.0243192873895 5539.10546875 0 -0.0243192873895 -0.999704241753 3892.02539062 1 0 0 79413.0078125 0 0 0 1,0.0475645760309 -0.998867979188 0.000608257661288 4163.63229475 0.0424167504895 0.0014114228883 -0.999099007046 2707.08299355 0.997967148948 0.0475475210575 0.0424358676309 62893.2627258 0 0 0 1,0.0154139921069 -0.999835729599 -0.00952551700175 4678.15637589 0.0374138057232 0.0100967157632 -0.999248921871 2492.03062057 0.999181032181 0.0150460237637 0.037563290447 59181.6940308 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5421508063567,1,3380,1,2023,10115,0.23046875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5421508063567_0.json,0,1000.7449586041397,2.1460121306800746,1.078818873840236,0.3459218690708004,1.8194166331947164,0 -0.999468445778 0.0326009728014 5461.91992188 0 -0.0326009728014 -0.999468445778 3845.73706055 1 0 0 80676.9375 0 0 0 1,0.0472115220172 -0.998845390089 0.00888574252083 4096.31116897 0.0428093657872 -0.00686421723082 -0.999059677024 2649.43957795 0.997967148948 0.0475475210575 0.0424358676309 64157.1924133 0 0 0 1,0.0154144810513 -0.999829053879 -0.0102067785338 4757.42912292 0.0371378883719 0.0107734482735 -0.999252080917 2714.2932415 0.999191343784 0.0150238899514 0.0372976064682 64905.6625366 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5421694150466,1,3381,1,2027,10135,0.24609375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5421694150466_0.json,0,1648.0418962392248,1.9358798486439408,0.6426785763461075,0.41791949660470323,1.7754364068208097,0 -0.999672591686 0.0255886930972 5658.84472656 0 -0.0255886930972 -0.999672591686 3928.35253906 1 0 0 81811.2109375 0 0 0 1,0.0475106786333 -0.998869002621 0.0018769130915 4284.87725105 0.0424771153405 0.000143059262789 -0.999097465711 2741.66447819 0.997967148948 0.0475475210575 0.0424358676309 65291.4658508 0 0 0 1,0.0164726879448 -0.999817550182 -0.00967343617231 4870.68510056 0.035523775965 0.0102538662031 -0.99931627512 2697.77107239 0.999233067036 0.0161177925766 0.0356862023473 66831.2530518 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5421894469620,1,3382,1,2031,10155,0.265625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5421894469620_0.json,0,2141.772562104059,2.2996702429405342,1.5241469483961725,0.4941448866482072,1.6431979329083726,0 -0.999079525471 0.0428965464234 5741.37011719 0 -0.0428965464234 -0.999079525471 3859.09423828 1 0 0 84291.9140625 0 0 0 1,0.0467679611178 -0.998721662981 0.0191783632047 4388.1590242 0.0432935039187 -0.0171547374415 -0.998915111214 2648.79067385 0.997967148948 0.0475475210575 0.0424358676309 67772.1689758 0 0 0 1,0.0180401243269 -0.999806821346 -0.00779573433101 4995.99790573 0.0349319018424 0.00842250324786 -0.999354243279 2660.04824638 0.999226927757 0.0177561640739 0.0350770950317 65718.4906006 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5422006656194,1,3383,1,2035,10175,0.21484375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5422006656194_0.json,0,3191.8098538969175,1.816284467935689,0.495345888458646,0.44592472152038826,1.6877870428834059,0 -0.999689459801 0.0249209906906 5969.84814453 0 -0.0249209906906 -0.999689459801 4047.53125 1 0 0 85398.3359375 0 0 0 1,0.0475390391551 -0.998868684281 0.00120960010902 4595.08836826 0.0424453727535 0.000810219200722 -0.999098496491 2861.76114781 0.997967148948 0.0475475210575 0.0424358676309 68878.5908508 0 0 0 1,0.0180401243269 -0.999806821346 -0.00779573433101 4995.99790573 0.0349319018424 0.00842250324786 -0.999354243279 2660.04824638 0.999226927757 0.0177561640739 0.0350770950317 65718.4906006 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_5422197958013,1,3384,1,2039,10195,0.26171875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/5422197958013_0.json,0,2636.756729159697,2.346540653740169,1.6059119709454954,0.4925392588988767,1.6315557069610411,0 -0.998966276646 0.0454565621912 5929.01904297 0 -0.0454565621912 -0.998966276646 4023.76171875 1 0 0 87872.203125 0 0 0 1,0.0466568650866 -0.998674379178 0.02173803661 4578.91387829 0.0434132035146 -0.0197139218685 -0.998862641191 2809.99455629 0.997967148948 0.0475475210575 0.0424358676309 71352.4580383 0 0 0 1,0.0181418489665 -0.999813199043 -0.00665897969157 5120.14341354 0.0350454971194 0.0072918641381 -0.999359130859 2805.32383919 0.999221026897 0.0178968496621 0.0351712405682 68771.8505859 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260518v2v4_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
