model,model_rotation_acceleration_deg_per_frame2_count,model_rotation_acceleration_deg_per_frame2_max,model_rotation_acceleration_deg_per_frame2_mean,model_rotation_acceleration_deg_per_frame2_median,model_rotation_acceleration_deg_per_frame2_p90,model_rotation_acceleration_deg_per_frame2_std,model_rotation_acceleration_deg_per_frame2_variance,model_rotation_step_deg_per_frame_count,model_rotation_step_deg_per_frame_max,model_rotation_step_deg_per_frame_mean,model_rotation_step_deg_per_frame_median,model_rotation_step_deg_per_frame_p90,model_rotation_step_deg_per_frame_std,model_rotation_step_deg_per_frame_variance,model_translation_acceleration_m_per_frame2_count,model_translation_acceleration_m_per_frame2_max,model_translation_acceleration_m_per_frame2_mean,model_translation_acceleration_m_per_frame2_median,model_translation_acceleration_m_per_frame2_p90,model_translation_acceleration_m_per_frame2_std,model_translation_acceleration_m_per_frame2_variance,model_translation_step_m_per_frame_count,model_translation_step_m_per_frame_max,model_translation_step_m_per_frame_mean,model_translation_step_m_per_frame_median,model_translation_step_m_per_frame_p90,model_translation_step_m_per_frame_std,model_translation_step_m_per_frame_variance,reference_rotation_acceleration_deg_per_frame2_count,reference_rotation_acceleration_deg_per_frame2_max,reference_rotation_acceleration_deg_per_frame2_mean,reference_rotation_acceleration_deg_per_frame2_median,reference_rotation_acceleration_deg_per_frame2_p90,reference_rotation_acceleration_deg_per_frame2_std,reference_rotation_acceleration_deg_per_frame2_variance,reference_rotation_step_deg_per_frame_count,reference_rotation_step_deg_per_frame_max,reference_rotation_step_deg_per_frame_mean,reference_rotation_step_deg_per_frame_median,reference_rotation_step_deg_per_frame_p90,reference_rotation_step_deg_per_frame_std,reference_rotation_step_deg_per_frame_variance,reference_translation_acceleration_m_per_frame2_count,reference_translation_acceleration_m_per_frame2_max,reference_translation_acceleration_m_per_frame2_mean,reference_translation_acceleration_m_per_frame2_median,reference_translation_acceleration_m_per_frame2_p90,reference_translation_acceleration_m_per_frame2_std,reference_translation_acceleration_m_per_frame2_variance,reference_translation_step_m_per_frame_count,reference_translation_step_m_per_frame_max,reference_translation_step_m_per_frame_mean,reference_translation_step_m_per_frame_median,reference_translation_step_m_per_frame_p90,reference_translation_step_m_per_frame_std,reference_translation_step_m_per_frame_variance,rotation_velocity_disagreement_deg_per_frame_count,rotation_velocity_disagreement_deg_per_frame_max,rotation_velocity_disagreement_deg_per_frame_mean,rotation_velocity_disagreement_deg_per_frame_median,rotation_velocity_disagreement_deg_per_frame_p90,rotation_velocity_disagreement_deg_per_frame_std,rotation_velocity_disagreement_deg_per_frame_variance,temporal_transitions,translation_velocity_disagreement_m_per_frame_count,translation_velocity_disagreement_m_per_frame_max,translation_velocity_disagreement_m_per_frame_mean,translation_velocity_disagreement_m_per_frame_median,translation_velocity_disagreement_m_per_frame_p90,translation_velocity_disagreement_m_per_frame_std,translation_velocity_disagreement_m_per_frame_variance
selector,210,115.81155921854455,22.3381796738735,19.067966568501042,47.440470887037996,19.888768323840203,395.5631054393894,211,74.98790366563415,12.647277656459954,7.431986150840104,31.217976837776447,13.551353866416171,183.63919161283252,210,82.82882870492377,6.289508808701104,2.3242116439994565,12.878229209313302,11.338980769684206,128.57248489526822,211,41.64779930244897,3.5207539083994583,1.284217442307082,7.736635603290333,6.613210059034333,43.734547284912885,210,359.6988065512208,33.461969249848465,7.877351540285199,133.01441133056872,70.99666608215314,5040.526594780754,211,179.9181016121091,17.519029135486985,3.129448489028379,19.919249825455562,41.64383410809012,1734.2089192221301,210,91.63696624372464,6.631851827006697,2.818191763336868,15.806266633116284,11.881319275240518,141.16574772020186,211,47.845029130504834,3.8211992905477694,1.6211009193920451,7.888068406342515,6.998175927397331,48.9744663108035,211,189.6646896923781,26.66500505291481,15.562533215630504,48.78680525466836,41.41891466746957,1715.5264922311262,211,211,58.59756103205665,4.3881728258392485,2.0137106239283717,8.97656124688715,7.859450658817981,61.7709646583944
translation_cascade,210,115.81155927282575,22.338179681716134,19.067966578287756,47.440470878417166,19.88876828519486,395.56310390217294,211,74.9879036342555,12.647277662360736,7.431986150840104,31.217976771488726,13.551353861669236,183.63919148417773,210,27.866280670686177,2.712429927989181,1.2369684364825462,6.020556274397344,4.525273984749605,20.478104637051565,211,18.69904998505632,1.7902762367714613,0.8093507677832017,3.772383927504226,2.920462815344293,8.529103055808715,210,359.6988065512208,33.461969249848465,7.877351540285199,133.01441133056872,70.99666608215314,5040.526594780754,211,179.9181016121091,17.519029135486985,3.129448489028379,19.919249825455562,41.64383410809012,1734.2089192221301,210,91.63696624372464,6.631851827006697,2.818191763336868,15.806266633116284,11.881319275240518,141.16574772020186,211,47.845029130504834,3.8211992905477694,1.6211009193920451,7.888068406342515,6.998175927397331,48.9744663108035,211,189.66468968166222,26.665005047040648,15.562533215630504,48.78680521200425,41.4189146688737,1715.5264923474406,211,211,45.939192699883975,3.8595919709844737,1.6407681237343232,9.039408700989727,6.758490509156517,45.67719396235872
translation_cascade_scipy,209,113.66798841353906,18.631902717569954,15.313711001922506,43.031186270916486,17.610844406662984,310.14184071569287,210,74.5918948839163,11.035149435943806,6.152188457577083,27.18867942914003,12.303355634238127,151.37255986253905,209,9.890176693176691,0.8849188184607111,0.3823412220820388,2.3816986132797755,1.4567565744081594,2.1221397170813954,210,12.185495220847702,1.0315603008822438,0.4797279336078102,2.4546209191385557,1.5110430198142035,2.2832510077292274,209,359.6988065512208,31.589612447642732,7.842930936707238,61.03078634130861,69.17193009420114,4784.755912957051,210,179.9181016121091,16.51775013768129,3.075028528597512,19.33700480792194,40.54653181483644,1644.0212422115435,209,65.79203446604066,5.787033042893572,2.8069101583164966,14.611383238231678,9.321462905358256,86.88967069596997,210,41.69764579795892,3.412796453968573,1.620467633707655,7.032946034250606,5.67607770146685,32.217858073089204,210,188.44961564925094,24.217713575673308,13.62288625616741,41.02571185063031,40.345098358320506,1627.726961542556,210,210,38.07449992551235,3.3840069733478173,1.464928390564046,7.6273774679854,5.620103870965204,31.58556752043807
