match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj
image_3601386963096,1,12,1,0,12,0.95021676,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3601386963096_0.json,0,1228.4189121559536,11.012481325864506,4.624390181281203,2.3776674418778567,9.80754936579614,0.136888013 -0.988542566 0.0636024141 -5700.05096 -0.0144769561 -0.066196392 -0.997701586 5519.76014 0.990480737 0.135652618 -0.0233725799 137777.331 0 0 0 1,0.146891228272 -0.987833565071 0.0510667675835 -6145.08073857 -0.00731489333222 -0.0527101979015 -0.998583059465 5466.12551476 0.989125603818 0.146309543869 -0.0149685628705 134215.369167 0 0 0 1,-0.0226256530732 -0.999487996101 -0.0226231049746 -5964.9310112 0.0384255126119 0.0217427760363 -0.999024927616 5987.62226105 0.999005377293 -0.0234728902578 0.0379138849676 135312.911987 0 0 0 1
image_3603787821397,1,35,1,0,35,0.990977726,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3603787821397_0.json,0,4467.342665573122,3.0187138648633876,0.07903567896573589,2.8551114694256525,0.9792277425354124,-0.0287069649 -0.999584604 -0.00255517599 -4705.75209 0.0793300163 0.000269911148 -0.996848371 5857.86741 0.996434975 -0.0288191934 0.0792893146 136298.091 0 0 0 1,-0.0181460611579 -0.999701985946 -0.0163296990809 -4563.33130884 0.0857783776404 0.0147155828032 -0.996205561446 5465.088139 0.996148980383 -0.0194779421765 0.0854857846211 132732.429625 0 0 0 1,-0.00191840738989 -0.999857246876 -0.0167828593403 -4698.50444794 0.0357712469995 0.0167035330087 -0.999220430851 5959.48314667 0.99935823679 -0.00251726317219 0.0357340984046 137170.272827 0 0 0 1
image_3603890705673,1,36,1,0,36,0.996551908,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3603890705673_0.json,0,3225.8305503850843,3.3486752070687755,0.10703614471836488,3.145697084731298,1.1404093899398753,-0.0300189161 -0.999529436 -0.00630643472 -4643.89007 0.084603486 0.00374583755 -0.996407657 6064.18587 0.995962406 -0.0304446242 0.0844512287 137715.956 0 0 0 1,-0.0194341941685 -0.99960930644 -0.0200884655508 -4497.17079598 0.091011929614 0.018240121287 -0.995682744007 5652.39412559 0.995660152912 -0.0211785817754 0.0906218898167 134152.614692 0 0 0 1,-0.000505236559547 -0.99985319376 -0.0171271190047 -4614.07709122 0.0359015613794 0.0170979462564 -0.999209105968 6014.75381851 0.999355196953 -0.00111972203013 0.0358876511455 137355.895996 0 0 0 1
image_3603986936980,1,37,1,0,37,0.98536947,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3603986936980_0.json,0,2695.3727030931886,5.145139724757821,4.8521749826510945,1.2908228528414512,1.0711297183422828,-0.028213526 -0.996253386 0.0817507688 -4419.8346 0.00664237818 -0.0819683711 -0.996612796 6076.23434 0.99957985 -0.0275749415 0.00893010852 138480.327 0 0 0 1,-0.0182339014596 -0.997517651169 0.0680151513126 -4270.17294508 0.0139621101125 -0.0682738640257 -0.997568914498 5947.56374014 0.999736257761 -0.017239938244 0.0151723501923 134895.700723 0 0 0 1,0.000835843500681 -0.999854981899 -0.0170104131103 -4553.17306519 0.0361685492098 0.0170295182616 -0.999200582504 6069.29206848 0.999345362186 0.000219940426177 0.0361775271595 137573.410034 0 0 0 1
image_3604087086254,1,38,1,0,38,0.977991828,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3604087086254_0.json,0,1644.1830679992865,3.0763667650080517,1.1700094996366066,2.4327139897159187,1.5008240089311868,-0.0335744089 -0.999305015 0.0161939894 -4197.15345 0.0717970597 -0.0185728481 -0.997246324 6093.62958 0.996854022 -0.032319275 0.0723707342 139788.117 0 0 0 1,-0.0231375324815 -0.999729436893 0.00238889713767 -4035.24491251 0.0784473016737 -0.0041977268184 -0.996909423744 5728.58509365 0.996649725502 -0.0228786215984 0.0785232017569 136220.340603 0 0 0 1,0.00230649183504 -0.999852359295 -0.0170268323272 -4510.48278809 0.0356312543154 0.0170982386917 -0.999218761921 6016.23106003 0.999362409115 0.00169798359275 0.0356654301286 137767.837524 0 0 0 1
image_3604187484365,1,39,1,0,39,0.988060869,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3604187484365_0.json,0,333.35813094703633,4.016200467842268,0.12968684375624365,4.012517079427801,0.10838871689108284,-0.00812360465 -0.999947373 -0.00626562263 -4355.45633 0.0982250005 0.00543757554 -0.995149377 6191.21665 0.995131075 -0.00869964089 0.0981756586 141704.459 0 0 0 1,0.0024635835645 -0.999798773336 -0.0199083736139 -4287.28073269 0.104606408002 0.0200568660535 -0.994311431104 5730.61751882 0.994510648644 0.000367025847044 0.104634770269 138144.725752 0 0 0 1,0.00311426073313 -0.99983716011 -0.0177744533867 -4479.37297821 0.0347369089723 0.0178719777614 -0.999236702919 5925.98724365 0.999391615391 0.00249445368536 0.0347869060934 137954.833984 0 0 0 1
image_3604286201401,1,40,1,0,40,0.991962834,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3604286201401_0.json,0,2527.5255618279234,2.701756385077955,1.2899832994800913,0.17384043784725564,2.3696342650064555,-0.0476679262 -0.998511936 -0.026489307 -4520.40615 0.0263801011 0.0252517301 -0.999332998 6290.13597 0.998514827 -0.0483349222 0.0251371482 144229.074 0 0 0 1,-0.036961844902 -0.998500836356 -0.0403720537705 -4312.58815413 0.0325851413544 0.0391739301875 -0.998700962378 6086.08998363 0.998785277848 -0.0382293591629 0.0310883501464 140650.851369 0 0 0 1,0.00443539302796 -0.999828279018 -0.0179950818419 -4496.72889709 0.0348969064653 0.018139058724 -0.999226331711 5972.59092331 0.999381124973 0.00380400172435 0.0349713638425 138132.598877 0 0 0 1
image_3604484785784,1,41,1,0,41,0.983838442,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3604484785784_0.json,0,3214.306748476496,1.943447742655895,0.04976189997392339,0.24359689218350294,1.9273346159527593,-0.0366392316 -0.999315298 -0.00514803789 -4497.70086 0.033523232 0.00391952306 -0.999430253 6302.66737 0.998766119 -0.0367909353 0.0333566702 145287.013 0 0 0 1,-0.0260637647267 -0.99948025347 -0.0189711226479 -4327.10945231 0.0399533359447 0.0179209060299 -0.999040826208 6073.82693458 0.998861557951 -0.0267967246056 0.039465483997 141708.321772 0 0 0 1,0.00748933060095 -0.999810039997 -0.0179920829833 -4531.52227402 0.0351117067039 0.0182444211096 -0.999216854572 6044.42644119 0.999355316162 0.00685174809769 0.0352416709065 138500.656128 0 0 0 1
image_3604600248883,1,42,1,0,42,0.976747853,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3604600248883_0.json,0,2713.9584011734696,4.2778247806828285,1.7699920562741083,3.8520742361642424,0.6368981899233839,0.0103210179 -0.999368747 -0.0339938906 -4475.41828 0.095753779 0.034827234 -0.994795596 6313.16663 0.995351541 0.00701225966 0.0960527866 144878.314 0 0 0 1,0.0210803061914 -0.998648606625 -0.0475034910959 -4476.45597439 0.101823125068 0.0494115009258 -0.993574634851 5860.30609087 0.994579142988 0.016107903602 0.102727131491 141316.935542 0 0 0 1,0.00880214478821 -0.999799013138 -0.0180139001459 -4621.61207199 0.0349790416658 0.0183114297688 -0.999220311642 6054.95548248 0.999349236488 0.00816517602652 0.0351331867278 138613.861084 0 0 0 1
image_3604683245122,1,43,1,0,43,0.989056839,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3604683245122_0.json,0,2010.1715513017964,5.677513044904261,2.5839654326202033,5.028143702341286,0.42753964772155295,-0.00637516733 -0.998746386 -0.0496489108 -4565.08458 0.116313628 0.0485722895 -0.992024129 6321.66509 0.993192075 -0.0120991647 0.115858159 144463.506 0 0 0 1,0.004480244624 -0.997987099859 -0.0632588062837 -4507.93570139 0.122218483797 0.0633316669204 -0.990480561176 5794.78655381 0.992493108432 -0.00329380011974 0.122256211421 140912.783075 0 0 0 1,0.0103282351047 -0.999774992466 -0.0185244437307 -4688.5228157 0.0346355959773 0.018872000277 -0.999221861362 6040.23361206 0.999346733093 0.0096785761416 0.0348227135837 138925.842285 0 0 0 1
