scene_id,im_id,segment_id,raw_selected_candidate,anchored_selected_candidate,selected_polarity,raw_probability,selected_probability,selected_source,lookahead_path_cost,epnp_status,map_heading_source,camera,camera_facing_rule,camera_facing_dot,epnp_rotation_before_deg,epnp_rotation_after_deg,epnp_translation_before_m,epnp_translation_after_m
1,45,0,10,8,1,0.7698141932487488,0.17491813004016876,gigapose_global_rank_0|R1-45|rgb_recovery|center_preserving_flip180,103.23807197857478,approved,epnp_raceline,front,away,0.9785348445919947,30.819858427462577,33.24885824854165,9.891686717721909,10.281424915438151
1,46,0,15,1,1,0.16517376899719238,0.12338568270206451,gigapose_global_rank_0|R1-20|rgb_recovery|center_preserving_flip180,112.33237994597832,approved,epnp_raceline,front,away,0.8790464138176804,9.559357614234662,13.820783375386272,27.827089719012196,18.674639769346307
1,47,0,14,14,1,0.44306957721710205,0.44306957721710205,gigapose_global_rank_0|R1-45|rgb_recovery|center_preserving_flip180,143.72226883064224,approved,epnp_raceline,front,away,0.964604912694436,142.72210864473985,39.59928438687839,9.019698407108184,9.019698407108184
1,48,0,9,11,1,0.7544974088668823,0.10139842331409454,gigapose_global_rank_0|R1-45|rgb_recovery|center_preserving_flip180,120.33098639986731,approved,epnp_raceline,front,away,0.9566613204828738,167.26351237694962,39.651347320037026,17.755490892472185,12.560359392979818
1,49,0,11,15,1,0.2676577568054199,0.1006900817155838,gigapose_global_rank_0|R1-45|rgb_recovery|center_preserving_flip180,125.68175644726345,rejected:bbox_iou,epnp_raceline,front,away,0.9900049758083219,nan,nan,nan,nan
1,50,0,6,1,1,0.2851186692714691,0.05360536277294159,gigapose_global_rank_1|logz-0.35|rgb_recovery|center_preserving_flip180,104.80379238593781,rejected:bbox_iou,epnp_raceline,front,away,0.9492570369909432,nan,nan,nan,nan
1,51,0,3,3,1,0.3643032908439636,0.3643032908439636,gigapose_global_rank_0|uv0+48|rgb_recovery|center_preserving_flip180,101.85052998932588,approved,epnp_raceline,front,away,0.841591542203325,158.95776484728282,25.113080760486394,16.22087919367652,16.22087919367652
1,52,0,7,3,0,0.19706566631793976,0.13124433159828186,gigapose_global_rank_0|yaw+30|rgb_recovery,93.72095787248121,approved,epnp_raceline,front,away,0.6233718588457037,33.25040130486736,16.990439980629596,11.314927536894746,18.541519962996862
1,53,0,2,13,0,0.18042713403701782,0.10316996276378632,gigapose_global_rank_1|uv0-48|rgb_recovery,121.51202707609568,rejected:bbox_iou,epnp_raceline,front,away,0.3370401213314546,nan,nan,nan,nan
1,54,0,15,3,0,0.14071162045001984,0.08343853801488876,gigapose_global_rank_0|uv0-48|rgb_recovery,94.09878451856142,approved,epnp_raceline,front,away,0.3340073239239597,9.71278920458951,18.895063034774974,26.30692902117624,17.981187969353925
1,55,0,12,1,1,0.3413601219654083,0.005543384701013565,gigapose_global_rank_1|R1+20|rgb_recovery|center_preserving_flip180,123.95921150798985,approved,epnp_raceline,front,away,0.23851705994939476,20.487355086977672,21.05431181396107,11.695316147751656,16.561563104059267
1,56,0,0,2,1,0.16799433529376984,0.01830410398542881,gigapose_global_rank_1|R1+45|rgb_recovery|center_preserving_flip180,93.64171358638265,rejected:bbox_iou,epnp_raceline,front,away,0.28850081560926316,nan,nan,nan,nan
1,57,0,14,14,1,0.25233542919158936,0.25233542919158936,gigapose_global_rank_1|R1-45|rgb_recovery|center_preserving_flip180,66.75503069265874,rejected:bbox_iou,epnp_raceline,front,away,0.958158855210159,nan,nan,nan,nan
1,58,0,1,2,1,0.13684356212615967,0.10616281628608704,gigapose_global_rank_0|uv1-48|rgb_recovery|center_preserving_flip180,35.25356408422318,rejected:bbox_iou,epnp_raceline,front,away,0.6925541398131371,nan,nan,nan,nan
1,59,0,2,10,1,0.17416411638259888,0.035456109791994095,gigapose_global_rank_0|yaw-30|rgb_recovery|center_preserving_flip180,31.696580032234696,rejected:bbox_iou,epnp_raceline,front,away,0.5120476706847268,nan,nan,nan,nan
1,80,1,15,7,1,0.17717930674552917,0.10275391489267349,gigapose_global_rank_0|flip180|rgb_recovery|center_preserving_flip180,6.060835389553771,approved,epnp_raceline,front,away,0.9917622692645379,162.87932045883628,8.278600275645474,1.658620445023924,3.7815110792526645
