scene_id,im_id,car_panels,worst_center_error_px,output
1,235,2,9.774028022124938,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000235_cars_side_by_side.jpg
1,240,2,50.87459432300639,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000240_cars_side_by_side.jpg
1,245,2,48.257093864776046,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000245_cars_side_by_side.jpg
1,250,2,6.927726796336531,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000250_cars_side_by_side.jpg
1,255,2,18.136484342203648,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000255_cars_side_by_side.jpg
1,260,2,12.381111486854943,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000260_cars_side_by_side.jpg
1,265,2,13.455739064014079,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000265_cars_side_by_side.jpg
1,270,2,12.660010818430651,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000270_cars_side_by_side.jpg
1,275,1,5.678882191087303,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000275_cars_side_by_side.jpg
1,280,2,5.50231256117993,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000280_cars_side_by_side.jpg
1,285,2,10.45494323184873,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000285_cars_side_by_side.jpg
1,290,2,7.029761311352523,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000290_cars_side_by_side.jpg
1,295,2,15.264016002262318,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000295_cars_side_by_side.jpg
1,300,2,13.400759112384735,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000300_cars_side_by_side.jpg
1,305,2,7.894884389329265,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000305_cars_side_by_side.jpg
1,310,2,15.733466936627888,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000310_cars_side_by_side.jpg
1,315,1,26.92860401856049,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000315_cars_side_by_side.jpg
1,320,2,13.334537446262463,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000320_cars_side_by_side.jpg
1,325,2,34.6606762022042,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000325_cars_side_by_side.jpg
1,330,2,363.2825622516742,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000330_cars_side_by_side.jpg
1,335,1,6.904993310138002,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000335_cars_side_by_side.jpg
1,340,1,8.75822580322748,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000340_cars_side_by_side.jpg
1,345,1,9.09199274687859,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000345_cars_side_by_side.jpg
1,350,1,4.284790598857251,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000350_cars_side_by_side.jpg
1,355,1,2.587805921735077,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000355_cars_side_by_side.jpg
1,360,1,5.500432805235808,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000360_cars_side_by_side.jpg
1,365,1,4.248873457397142,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000365_cars_side_by_side.jpg
1,370,1,6.385336625404954,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000370_cars_side_by_side.jpg
1,375,1,7.126599562149141,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000375_cars_side_by_side.jpg
1,385,1,7.288962808227345,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000385_cars_side_by_side.jpg
1,390,1,5.654754624237587,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000390_cars_side_by_side.jpg
